# File Name: TESTWORDS.txt
# File Size: 289282      
# File Date: 01/01/2026 19:36:17
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	NOSPACE	NOETERNAL	ETERNAL	NOHELL	YESHELL	SHEOL	GEHENNA	HADES	TARTARUS	ABYSS	LOF	END
Holy-Bible---Beami---Bedamuni-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Beaver---Beaver-Mark	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bekwel---Bekwel-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bengali---Bengali-Bible	0	GROUP=0/0/0	GROUP=0/0/0	জাহান্নাম=0/0/0, GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bengali---Contemporary	0	GROUP=0/0/0	GROUP=0/0/0	জাহান্নাম=0/0/0, GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bhadrawahi---Bhadrawahi-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bhattiyali---Bhattiyali-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bhilali---Bhilali-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Blackfoot---Matthew	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bodo-Parja---BOPO-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Boga---Boga-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bondei---Bondei-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Borna---Borna-Latin-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Breton---Breton-Gospels	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bu---Bauchi-Bu-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bu---Bu-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bugun---Bugun-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bulgarian---Bulgarian-Bible	0	GROUP=0/0/0	GROUP=0/0/0	пъкъла=11/11/0, GROUP=11/11/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Bwile---Bwile-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Calo---Calo-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Cebuano---Cebuano-Bible	0	GROUP=0/0/0	GROUP=0/0/0	impiyerno=11/11/0, GROUP=11/11/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Cebuano---Cebuano-Open-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Cebuano---Cebuano-Philippine	0	GROUP=0/0/0	GROUP=0/0/0	infierno=13/13/0, GROUP=13/13/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Cherokee---Cherokee-New-Testament	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chhattisgarhi---Chhattisgarhi-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chichewa---Chichewa-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Daai---Daai-Chin-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Matu---Matupi-Chin-2019	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Matu---Matupi-Chin-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Thado---Chongthu-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chinese---Chinese-Easy-to-Read	1	GROUP=0/0/0	永=180/125/55, 世=319/47/272, GROUP=499/172/327	地狱=0/0/0, 阴间=3/3/0, 塔耳塔洛斯 深渊=0/0/0, 无底坑=0/0/0, 火湖=5/5/0, GROUP=8/8/0	地狱=0/0/0, 阴间=3/3/0, 欣嫩子谷=0/0/0, 塔耳塔洛斯 深渊=0/0/0, 无底坑=0/0/0, 火湖=5/5/0, GROUP=8/8/0	地狱=0/0/0, 阴间=3/3/0, GROUP=3/3/0	地狱=0/0/0, 欣嫩子谷=0/0/0, GROUP=0/0/0	地狱=0/0/0, 阴间=3/3/0, GROUP=3/3/0	地狱=0/0/0, 塔耳塔洛斯 深渊=0/0/0, GROUP=0/0/0	无底坑=0/0/0, GROUP=0/0/0	火湖=5/5/0, GROUP=5/5/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chinese---Chinese-Sigao-Bible	1	GROUP=0/0/0	永=616/106/510, 世=586/71/515, GROUP=1202/177/1025	地獄=11/9/2, 陰間=13/9/4, 塔耳塔洛斯 深淵=0/0/0, 無底坑=0/0/0, 火湖=0/0/0, GROUP=24/18/6	地獄=11/9/2, 陰間=13/9/4, 欣嫩子穀=0/0/0, 塔耳塔洛斯 深淵=0/0/0, 無底坑=0/0/0, 火湖=0/0/0, GROUP=24/18/6	地獄=11/9/2, 陰間=13/9/4, GROUP=24/18/6	地獄=11/9/2, 欣嫩子穀=0/0/0, GROUP=11/9/2	地獄=11/9/2, 陰間=13/9/4, GROUP=24/18/6	地獄=11/9/2, 塔耳塔洛斯 深淵=0/0/0, GROUP=11/9/2	無底坑=0/0/0, GROUP=0/0/0	火湖=0/0/0, GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chinese---Chinese-Union-Version-Simplified	1	GROUP=0/0/0	永=697/128/569, 世=571/50/521, GROUP=1268/178/1090	地狱=13/13/0, 阴间=73/72/1, 塔耳塔洛斯 深渊=0/0/0, 无底坑=8/8/0, 火湖=5/5/0, GROUP=99/98/1	地狱=13/13/0, 阴间=73/72/1, 欣嫩子谷=10/0/10, 塔耳塔洛斯 深渊=0/0/0, 无底坑=8/8/0, 火湖=5/5/0, GROUP=109/98/11	地狱=13/13/0, 阴间=73/72/1, GROUP=86/85/1	地狱=13/13/0, 欣嫩子谷=10/0/10, GROUP=23/13/10	地狱=13/13/0, 阴间=73/72/1, GROUP=86/85/1	地狱=13/13/0, 塔耳塔洛斯 深渊=0/0/0, GROUP=13/13/0	无底坑=8/8/0, GROUP=8/8/0	火湖=5/5/0, GROUP=5/5/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chinese---Chinese-Union-Version-Traditional	1	GROUP=0/0/0	永=697/128/569, 世=571/50/521, GROUP=1268/178/1090	地獄=13/13/0, 陰間=73/72/1, 塔耳塔洛斯 深淵=0/0/0, 無底坑=8/8/0, 火湖=5/5/0, GROUP=99/98/1	地獄=13/13/0, 陰間=73/72/1, 欣嫩子穀=0/0/0, 塔耳塔洛斯 深淵=0/0/0, 無底坑=8/8/0, 火湖=5/5/0, GROUP=99/98/1	地獄=13/13/0, 陰間=73/72/1, GROUP=86/85/1	地獄=13/13/0, 欣嫩子穀=0/0/0, GROUP=13/13/0	地獄=13/13/0, 陰間=73/72/1, GROUP=86/85/1	地獄=13/13/0, 塔耳塔洛斯 深淵=0/0/0, GROUP=13/13/0	無底坑=8/8/0, GROUP=8/8/0	火湖=5/5/0, GROUP=5/5/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chinese---Mandarin-Bible-Simplified	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chinese---Mandarin-Bible-Traditional	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Chiyawo---Yao	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Cishingini---Cishingini-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Coptic---Coptic-Boharic-NT	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Coptic---Coptic-NT	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Coptic---Sahidic-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Coptic---Sahidic-Coptic-Horner	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Croatian---Croatian-Bible	0	GROUP=0/0/0	GROUP=0/0/0	paklena=2/1/1, paklu=2/2/0, GROUP=4/3/1	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Croatian---Croatian-Open-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Cung---Chung-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
