BIBLE	NOTE	PACK	SHORT	NAME	NAMEENGLISH	LANGUAGE	LANGUAGEENGLISH	COUNTRY	RTL	LANGUAGESTYLE	LANGUAGECSS	LANGUAGECODE	LANGUAGECODEISO	LANGUAGESPELL	NOPRO	ABCOPYRIGHT	COPYRIGHT	EXTENSION	WARNING	TRANSLATOR	SOURCE	YEAR	DESCRIPTION	SOURCEDOMAIN	SOURCELINK	SOURCELINKEXTRA	DOWNLOAD	AMAZON	AMAZONNT	AMAZONJOHN	KDP	KDPNT	KDPJOHN	LULU	LULUNT	LULUHARD	LULUJOHN	LULUX	LULUNTX	LULUHARDX	LULUJOHNX	BUYOTHER
Holy-Bible---Aruamu---Aruamu-Bible			ARU	Godɨn Eghaghanim	Aruamu Bible	Mikarew-Ariaw	Aruamu	Papua New Guinea (Madang)				msy				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Pioneer Bible Translators	The Seed Company	2020		eBible.org	https://ebible.org/details.php?id=msy2020			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-aruamu-bible/paperback/product-845wpv8.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-aruamu-bible-new-testament/paperback/product-7kvw7y8.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-aruamu-bible/hardcover/product-e7w69eq.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-aruamu-bible-gospel-primer/paperback/product-845w2z8.html	845wpv8	7kvw7y8	e7w69eq	845w2z8	NULL
Holy-Bible---Arumanisht---Aromanian-Bible			ARO	Biblija tu limba Rrãmãnã	Aromanian Bible	Armãneashti	Aromanian	Greece, Albania, Macedonia, Bulgaria, Romania, Serbia				rup				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			The Word for the World Europe	The Word for the World International	2024		eBible.org	https://ebible.org/details.php?id=rup			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-aromanian-bible/paperback/product-45y74ek.html	NULL	NULL	NULL	45y74ek	NULL	NULL	NULL	NULL
Holy-Bible---Assamese---Assamese-Bible	HIN		ASM	অসমীয়া বাইবেল	Assamese Bible	অসমীয়া	Assamese, Standard	India (Assam, Arunachal Pradesh, Meghalaya, Nagaland)		font-bengali.css	font-bengali	asm	as			Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Bridge Connectivity Solutions	Bridge Connectivity Solutions	2017, 2018		eBible.org	https://ebible.org/details.php?id=asmfb			1729730973	172973099X	NULL	4Z5452KRMK3	EDJMDAQWA9J	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-assamese-bible/paperback/product-44v988.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-assamese-bible-new-testament/paperback/product-nnd7jv.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-assamese-bible/hardcover/product-8mz6jn.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-assamese-bible-gospel-primer/paperback/product-p679vzq.html	44v988	nnd7jv	8mz6jn	p679vzq	NULL
Holy-Bible---Ayta-Ambala---Ayta-Ambala-Bible			AYT	Ayta Ambala Bible	Ayta Ambala Bible	Ambala Ayta	Ayta, Ambala	Philippines (Zambales, Olongapo, Dinalupihan)				abc				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Translators Association of the Philippines	Wycliffe Bible Translators	2024		eBible.org	https://ebible.org/details.php?id=abc			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-ayta-ambala-bible/paperback/product-p69n774.html	NULL	NULL	NULL	p69n774	NULL	NULL	NULL	NULL
Holy-Bible---Azerbaijani---Azerbaijani-Bible			AZB	Azərbaycan dilində Müqəddəs Kitab	Azerbaijani Bible	Azeri	Azerbaijani, South	Azerbaijan, Iran, Russia, Turkey, Iraq, Georgia				azb	az	az		Creative Commons Attribution NoDerivatives NonCommercial 4.0, 2018-2026	Creative Commons Attribution NoDerivatives Noncommercial 4.0	Non-profit commercial sales granted to Nainoia, Inc on 12/21/2019		Bible Society of Azerbaijan / Institute for Bible Translation	Bible Society of Azerbaijan and Institute for Bible Translation	2008		eBible.org	https://ebible.org/details.php?id=azb			1729731015	1729731031	NULL	CRR1CCXTVAA	8PFQDQGXN00	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-azerbaijani-bible/paperback/product-1mmzp446.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-azerbaijani-bible-new-testament/paperback/product-1rzrpggq.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-azerbaijani-bible/hardcover/product-17687g96.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-azerbaijani-bible-gospel-primer/paperback/product-gj2y7ww.html	1mmzp446	1rzrpggq	17687g96	gj2y7ww	NULL
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible			BAG	Kitabu ka Kanu	Baga Sitemu Bible	Barka Sitemu	Baga Sitemu	Guinea				bsp				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Pioneer Bible Translators	Pioneer Bible Translators	2015		eBible.org	https://ebible.org/details.php?id=bsp			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-baga-sitemu-bible/paperback/product-w4y9g6z.html	NULL	NULL	NULL	w4y9g6z	NULL	NULL	NULL	NULL
Holy-Bible---Baiso---Basio-Bible			BAI	አማቶ ኦኡሱብ	Baiso Bible	Bayso	Baiso	Ethiopia (Lake Abaya region)		font-ethiopic.css	font-ethiopic	bsw				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			The Word for the World International	The Word for the World International	2024		eBible.org	https://ebible.org/details.php?id=bswe			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-baiso-bible/paperback/product-v8yr864.html	NULL	NULL	NULL	v8yr864	NULL	NULL	NULL	NULL
Holy-Bible---Bangwinji---Bangwinji-Bible			BAN	Bangwinji Bible	Bangwinji Bible	Bangunji	Bangwinji	Nigeria (Shongom, Gombe)				bsj				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Door43 World Missions Community	Door43 World Missions Community	2020		eBible.org	https://ebible.org/details.php?id=bsj			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bangwinji-bible/paperback/product-rmvpvkr.html	NULL	NULL	NULL	rmvpvkr	NULL	NULL	NULL	NULL
Holy-Bible---Bareli-Palya---Palya-Bareli-Bible			BAR	भगवान ना खरला बोल	Palya Bareli Bible	Bareli, Palya	Bareli, Palya	India (Maharashtra, Andhra Pradesh)		font-hindi.css	font-hindi	bpx				Creative Commons Attribution 4.0 International, 2018-2026	Creative Commons Attribution 4.0			The Word for the World International	The Word for the World International	2020		eBible.org	https://ebible.org/details.php?id=bpx			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-palya-bareli-bible/paperback/product-jeqpq2v.html	NULL	NULL	NULL	jeqpq2v	NULL	NULL	NULL	NULL
Holy-Bible---Basa-Gurmana---Basa-Gurmana-Bible			BAS	Kɔrɔmba	Basa-Gurmana Bible	Kɔrɔmba	Basa-Gurmana	Nigeria				buj				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			The Word for the World Nigeria	The Word for the World International	2025		eBible.org	https://ebible.org/details.php?id=buj			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-basa-gurmana-bible/paperback/product-yvywedv.html	NULL	NULL	NULL	yvywedv	NULL	NULL	NULL	NULL
Holy-Bible---Basque---Basque-NT			BSQ	Euskal Biblia	Navarro-Labourdin Basque New Testament	Euskara	Basque	France, Spain				eus	eu			Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Pierre Hautin	Pierre Hautin	1571		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=BasHautin			B0851MY7KV	NULL	NULL	GGEHJ6HVA5E	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-navarro-labourdin-basque-nt/paperback/product-1dgdvnmk.html	NULL	NULL	NULL	1dgdvnmk	NULL	NULL	NULL	NULL
Holy-Bible---Beami---Bedamuni-Bible			BED	Gode Ea Sia: Ida:Iwane Gala	Bedamuni Bible	Bedamuni	Beami	Papua New Guinea				beo				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Tom Hoey	Tom Hoey	2000		eBible.org	https://ebible.org/details.php?id=beo			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bedamuni-bible/paperback/product-8492986.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bedamuni-bible-new-testament/paperback/product-dyzvz2q.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bedamuni-bible/hardcover/product-zm9p9q6.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bedamuni-bible-gospel-primer/paperback/product-kvw5ee4.html	8492986	dyzvz2q	zm9p9q6	kvw5ee4	NULL
Holy-Bible---Beaver---Beaver-Mark			BEM	Ootech Oochu Takehniya Tinkles St. Mark	Beaver Mark	Dane Zaa	Beaver	Canada (British Columbia, Alberta)				bea				Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Rev Alfred Campbell Garrioch / The Church Missionary Society	Rev Alfred Campbell Garrioch and The Church Missionary Society	1886		eBible.org	https://ebible.org/details.php?id=bea			1975924398	NULL	NULL	4BXW8QSR6X8	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-beaver-mark/paperback/product-1z7rp844.html	NULL	NULL	NULL	1z7rp844	NULL	NULL	NULL	NULL
Holy-Bible---Bekwel---Bekwel-Bible			BEK	Bekwil Bible	Bekwel Bible	Bekwil	Bekwel	Congo				bkw				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Wycliffe Bible Translators	Wycliffe Bible Translators	2024		eBible.org	https://ebible.org/details.php?id=bkw			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bekwel-bible/paperback/product-kv5nvy4.html	NULL	NULL	NULL	kv5nvy4	NULL	NULL	NULL	NULL
Holy-Bible---Bengali---Bengali-Bible	HIN	1	BEN	বাংলা বাইবেল, ভারত	Bengali Bible, India	বাংলা	Bengali	Bangladesh, India (Bengal, Assam, Tripura, Jharkhand, Andaman, Nicobar)		font-bengali.css	font-bengali	ben	bn	bn		Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Bridge Connectivity Solutions	Bridge Connectivity Solutions	2018		eBible.org	https://ebible.org/details.php?id=benirv			1729731104	1729731120	NULL	WWQ5XDWNG3Z	JW9DK5DGTNT	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bengali-bible-india/paperback/product-d4rg88.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bengali-bible-india-new-testament/paperback/product-rkdzwn.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bengali-bible-india/hardcover/product-8mz6dn.html	NULL	d4rg88	rkdzwn	8mz6dn	NULL	NULL
Holy-Bible---Bengali---Contemporary	HIN	2	BEC	মুক্তভাবে বাংলা সমকালীন সংস্করণের	Open Bengali Contemporary Bible	বাংলা	Bengali	Bangladesh, India (Bengal, Assam, Tripura, Jharkhand, Andaman, Nicobar)		font-bengali.css	font-bengali	ben	bn	bn		Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0, International			Biblica, Inc.	Biblica, Inc.	2007, 2017, 2019	Original work available for free at www.biblica.com and open.bible	eBible.org	https://ebible.org/details.php?id=benobcv	https://www.biblica.com		NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-open-bengali-contemporary-bible/paperback/product-kvwpwp4.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-open-bengali-contemporary-bible-new-testament/paperback/product-gj2w2ww.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-open-bengali-contemporary-bible/hardcover/product-e75959m.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-open-bengali-contemporary-bible-gospel-primer/paperback/product-95e9pye.html	kvwpwp4	gj2w2ww	e75959m	95e9pye	NULL
Holy-Bible---Bhadrawahi---Bhadrawahi-Bible	HIN		BHA	भड्लाई बाइबिल	Bhadrawahi Bible	भद्रवाही‎	Bhadrawahi	Jammu (Bhadarwah, Doda), Kashmir, India (Himachal Pradesh)		font-devanagari.css	font-devanagari	bhd				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			The Love Fellowship	The Love Fellowship	2020		eBible.org	https://ebible.org/details.php?id=bhd			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bhadrawahi-bible/paperback/product-7ke769d.html	NULL	NULL	NULL	7ke769d	NULL	NULL	NULL	NULL
Holy-Bible---Bhattiyali---Bhattiyali-Bible	HIN		BHI	भटियाली नोआ नियम	Bhattiyali Bible	भटियाली‎	Bhattiyali	India (Himachal Pradesh)		font-hindi.css	font-hindi	bht				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			The Love Fellowship	The Love Fellowship	2022		eBible.org	https://ebible.org/details.php?id=bht			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bhattiyali-bible/paperback/product-zm9p74w.html	NULL	NULL	NULL	zm9p74w	NULL	NULL	NULL	NULL
Holy-Bible---Bhilali---Bhilali-Bible	HIN		BII	भगवानेन छाचला बुल	Bhilali Bible	Bhilali	Bhilali	India (West Central)		font-devanagari.css	font-devanagari	bhi				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			The Word for the World International	The Word for the World International	2024		eBible.org	https://ebible.org/details.php?id=bhi			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bhilali-bible/paperback/product-q6dyzyn.html	NULL	NULL	NULL	q6dyzyn	NULL	NULL	NULL	NULL
Holy-Bible---Blackfoot---Matthew			BLF	Ŏkhs' I Tsĭn Ik Sĭn Ni Matthew Ot Sĭn Ai Pi	Blackfoot Matthew	Siksiká	Blackfoot	USA (Northwest), Canada (Alberta)				bla				Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Rev. John William Tims	British and Foreign Bible Society	1890		eBible.org	https://ebible.org/details.php?id=bla			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-blackfoot-matthew/paperback/product-dyzvgzj.html	NULL	NULL	NULL	dyzvgzj	NULL	NULL	NULL	NULL
Holy-Bible---Bodo-Parja---BOPO-Bible	HIN		BPB	ସଃର୍ଗାର୍‌ ବାଟ୍‌ ନଃଉଁଆ ନିଅମ୍‌	Bodo Parja: BOPO Bible	ବଡ଼ ପରଜା	Bodo Parja	India (Koraput, Odisha)		font-oriya.css	font-oriya	bdv				Creative Commons Attribution 4.0 International, 2018-2026	Creative Commons Attribution 4.0			The Word for the World International	The Word for the World International	2020		eBible.org	https://ebible.org/details.php?id=bdv			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bodo-parja-bopo-bible/paperback/product-q62pk2e.html	NULL	NULL	NULL	q62pk2e	NULL	NULL	NULL	NULL
Holy-Bible---Boga---Boga-Bible			BOG	Boka Bible	Boga Bible	Boka	Boga	Nigeria (Adamawa)				bvw				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			The Seed Company	Language Developers and Bible Translators	2023		eBible.org	https://ebible.org/details.php?id=bvw			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-boga-bible/paperback/product-kv5zgrd.html	NULL	NULL	NULL	kv5zgrd	NULL	NULL	NULL	NULL
Holy-Bible---Bondei---Bondei-Bible			BON	Bondei Bible	Bondei Bible	Bondei	Bondei	Tanzania (Northeast)				bou				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Bondei Language	The Word for the World International	2025		eBible.org	https://ebible.org/details.php?id=bou			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bondei-bible/paperback/product-7kvrzmd.html	NULL	NULL	NULL	7kvrzmd	NULL	NULL	NULL	NULL
Holy-Bible---Borna---Borna-Latin-Bible			BOR	Handr Taara	Borna Bible Latin Version	Borni	Borna	Ethiopia (Western)				bwo				Creative Commons Attribution 4.0 International, 2018-2026	Creative Commons Attribution 4.0			The Word for the World Southern Africa	The Word for the World Southern Africa	2018		eBible.org	https://ebible.org/details.php?id=bwo			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-borna-bible-latin-version/paperback/product-2mq64ww.html	NULL	NULL	NULL	2mq64ww	NULL	NULL	NULL	NULL
Holy-Bible---Breton---Breton-Gospels			BRE	an Bibl	Breton Gospels	Brezhoneg	Breton	France (Brittany)				bre	br	br		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Jean-François le Gonidec	Jean-François le Gonidec	1827		eBible.org	https://ebible.org/details.php?id=breBRG			1975924495	NULL	NULL	PSK4RR8N22P	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-breton-gospels/paperback/product-17687gq6.html	NULL	NULL	NULL	17687gq6	NULL	NULL	NULL	NULL
