# File Name: CHECKDATA.txt
# File Size: 10613692    
# File Date: 09/19/2026 19:13:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	CHECKDATA	VREF	INDEX	BOOK	CHAPTER	VERSE	TEXT
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sta2	043-JOH-003-015	043	JOH	003	015	याकरता की जो कोणी त्यानावर ईश्वास ठेई त्याले त्यानामा सार्वकालिक जिवन भेटी.
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sour	043-JOH-003-015	043	JOH	003	015	याकरता की जो कोणी त्यानावर ईश्वास ठेई त्याले त्यानामा सार्वकालिक जिवन भेटी. (aiōnios g166)
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sou2	043-JOH-003-015	043	JOH	003	015	याकरता की जो कोणी त्यानावर ईश्वास ठेई त्याले त्यानामा सार्वकालिक जिवन भेटी.
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Stan	043-JOH-003-016	043	JOH	003	016	देवनी जगवर ईतली प्रिती करी की त्यानी आपला एकुलता एक पोऱ्या दिधा, याकरता की जो कोणी त्यानावर ईश्वास ठेवस त्याना नाश व्हणार नही तर त्याले सार्वकालिक जिवन भेटी. (aiōnios g166)
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sta2	043-JOH-003-016	043	JOH	003	016	देवनी जगवर ईतली प्रिती करी की त्यानी आपला एकुलता एक पोऱ्या दिधा, याकरता की जो कोणी त्यानावर ईश्वास ठेवस त्याना नाश व्हणार नही तर त्याले सार्वकालिक जिवन भेटी.
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sour	043-JOH-003-016	043	JOH	003	016	देवनी जगवर ईतली प्रिती करी की त्यानी आपला एकुलता एक पोऱ्या दिधा, याकरता की जो कोणी त्यानावर ईश्वास ठेवस त्याना नाश व्हणार नही तर त्याले सार्वकालिक जिवन भेटी. (aiōnios g166)
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sou2	043-JOH-003-016	043	JOH	003	016	देवनी जगवर ईतली प्रिती करी की त्यानी आपला एकुलता एक पोऱ्या दिधा, याकरता की जो कोणी त्यानावर ईश्वास ठेवस त्याना नाश व्हणार नही तर त्याले सार्वकालिक जिवन भेटी.
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sour	064-3JO-001-015	064	3JO	001	014	तर मी तुले लवकर भेटसु, अशी माले आशा शे, तवय आपण समक्ष बोलुत. तुले शांती मिळो. मित्रमंडळी तुले सलाम सांगतस. मित्रमंडळीसले ज्यासना त्यासना नावमा सलाम सांग.
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sou2	064-3JO-001-015	064	3JO	001	014	तुले शांती मिळो. मित्रमंडळी तुले सलाम सांगतस. मित्रमंडळीसले ज्यासना त्यासना नावमा सलाम सांग.
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sour	066-REV-013-001	066	REV	013	001	अनी तो अजगर समुद्रना किनारवर जाईसन उभा राहिना. नंतर मी एक श्वापदले समुद्रमातीन वर येतांना दखं; त्याले सात डोका अनं दहा शिंगं व्हतात त्याना प्रत्येक शिंगवर एक एक असा दहा मुकुट अनी त्याना डोकावर देवनिंदात्मक नावं व्हतात.
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sou2	066-REV-013-001	066	REV	013	001	नंतर मी एक श्वापदले समुद्रमातीन वर येतांना दखं; त्याले सात डोका अनं दहा शिंगं व्हतात त्याना प्रत्येक शिंगवर एक एक असा दहा मुकुट अनी त्याना डोकावर देवनिंदात्मक नावं व्हतात.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Stan	041-MAR-016-009	041	MAR	016	009	रविवारना पहाटले येशु जिवत व्हवानंतर, ज्या मरीया मग्दालीया मातीन त्यानी सात दुष्ट आत्मा काढेल व्हतात तिले तो पहिले दखायना.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Sta2	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) रविवारना पहाटले येशु जिवत व्हवानंतर, ज्या मरीया मग्दालीया मातीन त्यानी सात दुष्ट आत्मा काढेल व्हतात तिले तो पहिले दखायना.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Aion	041-MAR-016-009	041	MAR	016	009	रविवारना पहाटले येशु जिवत व्हवानंतर, ज्या मरीया मग्दालीया मातीन त्यानी सात दुष्ट आत्मा काढेल व्हतात तिले तो पहिले दखायना.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Aio2	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) रविवारना पहाटले येशु जिवत व्हवानंतर, ज्या मरीया मग्दालीया मातीन त्यानी सात दुष्ट आत्मा काढेल व्हतात तिले तो पहिले दखायना.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Aion	043-JOH-003-015	043	JOH	003	015	याकरता की जो कोणी त्यानावर ईश्वास ठेई त्याले त्यानामा सार्वकालिक जिवन भेटी.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Aio2	043-JOH-003-015	043	JOH	003	015	याकरता की जो कोणी त्यानावर ईश्वास ठेई त्याले त्यानामा सार्वकालिक जिवन भेटी. (aiōnios g166)
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Aion	043-JOH-003-016	043	JOH	003	016	देवनी जगवर ईतली प्रिती करी की त्यानी आपला एकुलता एक पोऱ्या दिधा, याकरता की जो कोणी त्यानावर ईश्वास ठेवस त्याना नाश व्हणार नही तर त्याले सार्वकालिक जिवन भेटी.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Aio2	043-JOH-003-016	043	JOH	003	016	देवनी जगवर ईतली प्रिती करी की त्यानी आपला एकुलता एक पोऱ्या दिधा, याकरता की जो कोणी त्यानावर ईश्वास ठेवस त्याना नाश व्हणार नही तर त्याले सार्वकालिक जिवन भेटी. (aiōnios g166)
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Stan	064-3JO-001-014	064	3JO	001	015	तुले शांती मिळो. मित्रमंडळी तुले सलाम सांगतस. मित्रमंडळीसले ज्यासना त्यासना नावमा सलाम सांग.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Sta2	064-3JO-001-014	064	3JO	001	015	तर मी तुले लवकर भेटसु, अशी माले आशा शे, तवय आपण समक्ष बोलुत. तुले शांती मिळो. मित्रमंडळी तुले सलाम सांगतस. मित्रमंडळीसले ज्यासना त्यासना नावमा सलाम सांग.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Aion	064-3JO-001-014	064	3JO	001	015	तुले शांती मिळो. मित्रमंडळी तुले सलाम सांगतस. मित्रमंडळीसले ज्यासना त्यासना नावमा सलाम सांग.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Aio2	064-3JO-001-014	064	3JO	001	015	तर मी तुले लवकर भेटसु, अशी माले आशा शे, तवय आपण समक्ष बोलुत. तुले शांती मिळो. मित्रमंडळी तुले सलाम सांगतस. मित्रमंडळीसले ज्यासना त्यासना नावमा सलाम सांग.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Stan	066-REV-013-001	066	REV	013	001	नंतर मी एक श्वापदले समुद्रमातीन वर येतांना दखं; त्याले सात डोका अनं दहा शिंगं व्हतात त्याना प्रत्येक शिंगवर एक एक असा दहा मुकुट अनी त्याना डोकावर देवनिंदात्मक नावं व्हतात.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Sta2	066-REV-013-001	066	REV	013	001	अनी तो अजगर समुद्रना किनारवर जाईसन उभा राहिना. नंतर मी एक श्वापदले समुद्रमातीन वर येतांना दखं; त्याले सात डोका अनं दहा शिंगं व्हतात त्याना प्रत्येक शिंगवर एक एक असा दहा मुकुट अनी त्याना डोकावर देवनिंदात्मक नावं व्हतात.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Aion	066-REV-013-001	066	REV	013	001	नंतर मी एक श्वापदले समुद्रमातीन वर येतांना दखं; त्याले सात डोका अनं दहा शिंगं व्हतात त्याना प्रत्येक शिंगवर एक एक असा दहा मुकुट अनी त्याना डोकावर देवनिंदात्मक नावं व्हतात.
Holy-Bible---Ahirani---Ahirani-Bible	Sour txt != Aio2	066-REV-013-001	066	REV	013	001	अनी तो अजगर समुद्रना किनारवर जाईसन उभा राहिना. नंतर मी एक श्वापदले समुद्रमातीन वर येतांना दखं; त्याले सात डोका अनं दहा शिंगं व्हतात त्याना प्रत्येक शिंगवर एक एक असा दहा मुकुट अनी त्याना डोकावर देवनिंदात्मक नावं व्हतात.
Holy-Bible---Ahirani---Ahirani-Bible	Data checks: aionian=14537 standard=14537 source=14539						
Holy-Bible---Ajiya---Ajiya-Bible	Aion txt != Sour	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) IYesu ya sisang ko kpo ka awii ayeng ka awii ating sara ni, ava yeni ẹrẹkwyuẹ nga ukushi iMaryamu iMagadaliya, aghọmani awo nga ushẹẹ utinsara wu.
Holy-Bible---Ajiya---Ajiya-Bible	Aion txt != Sou2	041-MAR-016-009	041	MAR	016	009	IYesu ya sisang ko kpo ka awii ayeng ka awii ating sara ni, ava yeni ẹrẹkwyuẹ nga ukushi iMaryamu iMagadaliya, aghọmani awo nga ushẹẹ utinsara wu.
Holy-Bible---Ajiya---Ajiya-Bible	Aion txt != Stan	043-JOH-003-015	043	JOH	003	015	ka nadidu aghọmani ama aipang ni ngaa ni, aki peni ọkyuọ ni ushi wọ na amaa ba. (aiōnios g166)
Holy-Bible---Ajiya---Ajiya-Bible	Aion txt != Sta2	043-JOH-003-015	043	JOH	003	015	ka nadidu aghọmani ama aipang ni ngaa ni, aki peni ọkyuọ ni ushi wọ na amaa ba.
Holy-Bible---Ajiya---Ajiya-Bible	Aion txt != Sour	043-JOH-003-015	043	JOH	003	015	ka nadidu aghọmani ama aipang ni ngaa ni, aki peni ọkyuọ ni ushi wọ na amaa ba. (aiōnios g166)
Holy-Bible---Ajiya---Ajiya-Bible	Aion txt != Sou2	043-JOH-003-015	043	JOH	003	015	ka nadidu aghọmani ama aipang ni ngaa ni, aki peni ọkyuọ ni ushi wọ na amaa ba.
Holy-Bible---Ajiya---Ajiya-Bible	Aion txt != Stan	043-JOH-003-016	043	JOH	003	016	“Ka Ọnọng yoo ashi nagigang ki ma Anọ nga ka aye, ka aghọmani ama aipang ni ngaa ni, aba kpoo ba, na asa peni ọkyuọ ni ushi wọ na amaa ba. (aiōnios g166)
Holy-Bible---Ajiya---Ajiya-Bible	Aion txt != Sta2	043-JOH-003-016	043	JOH	003	016	“Ka Ọnọng yoo ashi nagigang ki ma Anọ nga ka aye, ka aghọmani ama aipang ni ngaa ni, aba kpoo ba, na asa peni ọkyuọ ni ushi wọ na amaa ba.
Holy-Bible---Ajiya---Ajiya-Bible	Aion txt != Sour	043-JOH-003-016	043	JOH	003	016	“Ka Ọnọng yoo ashi nagigang ki ma Anọ nga ka aye, ka aghọmani ama aipang ni ngaa ni, aba kpoo ba, na asa peni ọkyuọ ni ushi wọ na amaa ba. (aiōnios g166)
Holy-Bible---Ajiya---Ajiya-Bible	Aion txt != Sou2	043-JOH-003-016	043	JOH	003	016	“Ka Ọnọng yoo ashi nagigang ki ma Anọ nga ka aye, ka aghọmani ama aipang ni ngaa ni, aba kpoo ba, na asa peni ọkyuọ ni ushi wọ na amaa ba.
Holy-Bible---Ajiya---Ajiya-Bible	Sour txt != Stan	041-MAR-016-009	041	MAR	016	009	IYesu ya sisang ko kpo ka awii ayeng ka awii ating sara ni, ava yeni ẹrẹkwyuẹ nga ukushi iMaryamu iMagadaliya, aghọmani awo nga ushẹẹ utinsara wu.
Holy-Bible---Ajiya---Ajiya-Bible	Sour txt != Sta2	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) IYesu ya sisang ko kpo ka awii ayeng ka awii ating sara ni, ava yeni ẹrẹkwyuẹ nga ukushi iMaryamu iMagadaliya, aghọmani awo nga ushẹẹ utinsara wu.
Holy-Bible---Ajiya---Ajiya-Bible	Sour txt != Aion	041-MAR-016-009	041	MAR	016	009	IYesu ya sisang ko kpo ka awii ayeng ka awii ating sara ni, ava yeni ẹrẹkwyuẹ nga ukushi iMaryamu iMagadaliya, aghọmani awo nga ushẹẹ utinsara wu.
Holy-Bible---Ajiya---Ajiya-Bible	Sour txt != Aio2	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) IYesu ya sisang ko kpo ka awii ayeng ka awii ating sara ni, ava yeni ẹrẹkwyuẹ nga ukushi iMaryamu iMagadaliya, aghọmani awo nga ushẹẹ utinsara wu.
Holy-Bible---Ajiya---Ajiya-Bible	Sour txt != Aion	043-JOH-003-015	043	JOH	003	015	ka nadidu aghọmani ama aipang ni ngaa ni, aki peni ọkyuọ ni ushi wọ na amaa ba.
Holy-Bible---Ajiya---Ajiya-Bible	Sour txt != Aio2	043-JOH-003-015	043	JOH	003	015	ka nadidu aghọmani ama aipang ni ngaa ni, aki peni ọkyuọ ni ushi wọ na amaa ba. (aiōnios g166)
Holy-Bible---Ajiya---Ajiya-Bible	Sour txt != Aion	043-JOH-003-016	043	JOH	003	016	“Ka Ọnọng yoo ashi nagigang ki ma Anọ nga ka aye, ka aghọmani ama aipang ni ngaa ni, aba kpoo ba, na asa peni ọkyuọ ni ushi wọ na amaa ba.
Holy-Bible---Ajiya---Ajiya-Bible	Sour txt != Aio2	043-JOH-003-016	043	JOH	003	016	“Ka Ọnọng yoo ashi nagigang ki ma Anọ nga ka aye, ka aghọmani ama aipang ni ngaa ni, aba kpoo ba, na asa peni ọkyuọ ni ushi wọ na amaa ba. (aiōnios g166)
Holy-Bible---Ajiya---Ajiya-Bible	Data checks: aionian=3778 standard=3778 source=3778						
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sour	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) ኢስ አበ በር ገስመ ሱጵተ ሬሆች ኬዕዮች ኤተሮን ወዕና ለመሉ ሩሃንዩ ፉሎሴ መግደል መርየማን ሄጭ ደቀሞ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sou2	041-MAR-016-009	041	MAR	016	009	ኢስ አበ በር ገስመ ሱጵተ ሬሆች ኬዕዮች ኤተሮን ወዕና ለመሉ ሩሃንዩ ፉሎሴ መግደል መርየማን ሄጭ ደቀሞ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Stan	043-JOH-003-015	043	JOH	003	015	ሁኩንን እሲን አመዕነኖሁ ጉዕሙንኩ ጉዕመ ዘማኒሃ ሄአኖ ሄኡ ደኦታት። (aiōnios g166)
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sta2	043-JOH-003-015	043	JOH	003	015	ሁኩንን እሲን አመዕነኖሁ ጉዕሙንኩ ጉዕመ ዘማኒሃ ሄአኖ ሄኡ ደኦታት።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sour	043-JOH-003-015	043	JOH	003	015	ሁኩንን እሲን አመዕነኖሁ ጉዕሙንኩ ጉዕመ ዘማኒሃ ሄአኖ ሄኡ ደኦታት። (aiōnios g166)
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sou2	043-JOH-003-015	043	JOH	003	015	ሁኩንን እሲን አመዕነኖሁ ጉዕሙንኩ ጉዕመ ዘማኒሃ ሄአኖ ሄኡ ደኦታት።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Stan	043-JOH-003-016	043	JOH	003	016	«ቤቶንከስ አመዕነኖሀኒሃ ጉዕሚንከ ዘላለሚሃ ሄአኖ ሄኡ ሄኦስታት ቤሉ በአኖበእገ መገኑ ሜጥቹስ ቤቱ ኣሶተ ኢለ ከን ኣዱንያ አል ህትን ኢቴእ። (aiōnios g166)
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sta2	043-JOH-003-016	043	JOH	003	016	«ቤቶንከስ አመዕነኖሀኒሃ ጉዕሚንከ ዘላለሚሃ ሄአኖ ሄኡ ሄኦስታት ቤሉ በአኖበእገ መገኑ ሜጥቹስ ቤቱ ኣሶተ ኢለ ከን ኣዱንያ አል ህትን ኢቴእ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sour	043-JOH-003-016	043	JOH	003	016	«ቤቶንከስ አመዕነኖሀኒሃ ጉዕሚንከ ዘላለሚሃ ሄአኖ ሄኡ ሄኦስታት ቤሉ በአኖበእገ መገኑ ሜጥቹስ ቤቱ ኣሶተ ኢለ ከን ኣዱንያ አል ህትን ኢቴእ። (aiōnios g166)
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sou2	043-JOH-003-016	043	JOH	003	016	«ቤቶንከስ አመዕነኖሀኒሃ ጉዕሚንከ ዘላለሚሃ ሄአኖ ሄኡ ሄኦስታት ቤሉ በአኖበእገ መገኑ ሜጥቹስ ቤቱ ኣሶተ ኢለ ከን ኣዱንያ አል ህትን ኢቴእ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sour	064-3JO-001-015	064	3JO	001	014	አን ግደኖ በሬን ደቀሞሄተ ተብሳሃ አኣም፤ ህከ ወክት ሜጡበ እንክ ጉዕመርቹንከ ጠወዕናም። ወገሬቱ ኬሳን እሁን። ኢተክ ጉዕሙንኩ «ወገሬቴ» ይታሄት። አቲሁ ኢታተኔ ጉዕሚንከ «ወገሬቲኤ» ኢልስ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sou2	064-3JO-001-015	064	3JO	001	014	ወገሬቱ ኬሳን እሁን። ኢተክ ጉዕሙንኩ «ወገሬቴ» ይታሄት። አቲሁ ኢታተኔ ጉዕሚንከ «ወገሬቲኤ» ኢልስ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sour	066-REV-013-001	066	REV	013	001	ደህቹንኩ ባር ገበላን ሽፋር አሌን ኡሬእ። ህከኒች ኤተሮን መቱ ቡሳውቹ ባሪች ፉለን ለዕዮም፤ እሲንከ ቶኑ ቡዱለከ ለመሉ ቡዕሉ ሄዕዮስ እቅ፤ ቡዳንከስ ቶኑ አክሊሉ ሄዕዮስ እቅ፤ ቡዕላንከስ መገኑ ቦሮርታ ቦሮር ሱዕሙ ሄዕዮ እቅ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Aion txt != Sou2	066-REV-013-001	066	REV	013	001	ህከኒች ኤተሮን መቱ ቡሳውቹ ባሪች ፉለን ለዕዮም፤ እሲንከ ቶኑ ቡዱለከ ለመሉ ቡዕሉ ሄዕዮስ እቅ፤ ቡዳንከስ ቶኑ አክሊሉ ሄዕዮስ እቅ፤ ቡዕላንከስ መገኑ ቦሮርታ ቦሮር ሱዕሙ ሄዕዮ እቅ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Sour txt != Stan	041-MAR-016-009	041	MAR	016	009	ኢስ አበ በር ገስመ ሱጵተ ሬሆች ኬዕዮች ኤተሮን ወዕና ለመሉ ሩሃንዩ ፉሎሴ መግደል መርየማን ሄጭ ደቀሞ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Sour txt != Sta2	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) ኢስ አበ በር ገስመ ሱጵተ ሬሆች ኬዕዮች ኤተሮን ወዕና ለመሉ ሩሃንዩ ፉሎሴ መግደል መርየማን ሄጭ ደቀሞ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Sour txt != Aion	041-MAR-016-009	041	MAR	016	009	ኢስ አበ በር ገስመ ሱጵተ ሬሆች ኬዕዮች ኤተሮን ወዕና ለመሉ ሩሃንዩ ፉሎሴ መግደል መርየማን ሄጭ ደቀሞ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Sour txt != Aio2	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) ኢስ አበ በር ገስመ ሱጵተ ሬሆች ኬዕዮች ኤተሮን ወዕና ለመሉ ሩሃንዩ ፉሎሴ መግደል መርየማን ሄጭ ደቀሞ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Sour txt != Aion	043-JOH-003-015	043	JOH	003	015	ሁኩንን እሲን አመዕነኖሁ ጉዕሙንኩ ጉዕመ ዘማኒሃ ሄአኖ ሄኡ ደኦታት።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Sour txt != Aio2	043-JOH-003-015	043	JOH	003	015	ሁኩንን እሲን አመዕነኖሁ ጉዕሙንኩ ጉዕመ ዘማኒሃ ሄአኖ ሄኡ ደኦታት። (aiōnios g166)
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Sour txt != Aion	043-JOH-003-016	043	JOH	003	016	«ቤቶንከስ አመዕነኖሀኒሃ ጉዕሚንከ ዘላለሚሃ ሄአኖ ሄኡ ሄኦስታት ቤሉ በአኖበእገ መገኑ ሜጥቹስ ቤቱ ኣሶተ ኢለ ከን ኣዱንያ አል ህትን ኢቴእ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	Sour txt != Aio2	043-JOH-003-016	043	JOH	003	016	«ቤቶንከስ አመዕነኖሀኒሃ ጉዕሚንከ ዘላለሚሃ ሄአኖ ሄኡ ሄኦስታት ቤሉ በአኖበእገ መገኑ ሜጥቹስ ቤቱ ኣሶተ ኢለ ከን ኣዱንያ አል ህትን ኢቴእ። (aiōnios g166)
