# File Name: IVERSE.txt
# File Size: 1232809     
# File Date: 02/17/2026 10:46:12
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	REF	TEXT
BIBLE	REFERENCE	TEXT
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	REV-021-002	ያህይ ለዕዮ መናመተ 21:2-3	ህትን ጠሊለት ከተንቹት ሃዕሮት ዬሩሳሌም ጨውሃሴ መክቶ እዜቾገ ተቃጠብ ሰሜች መገን አዲች ድርተን ለዕዮም። ህትን ሎረ ላገት ኬዕምኝ ቦርጭማች «መገን ገልትት መን በላን እኮኡ፤ እስን እሳን ሜጡበ ሄአኖ፤ እሰን እስ ኡመት እካአ፤ መገኑ ገዉንኩስ መገኑሰ እክ እሳን ሜጡበ እሀኖ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	HEB-011-008	እብራውያን 11:8	እብራሂም እርስተ አዕይ አፈኖበ መሮተ ገአሞ ወክት መረኖስቤቹ ሀከንቤቹጎር ደጉዕናን ትዛዝ ቶግ መሮሁ አመዕነቲንት።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	EXO-013-017		
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	MAR-010-045	ማርቆስ እንጂለ 10:45	ህትን መንች ቤቱ ካደሞተለከ ነብሳስ ልግብያ መኒሃ ዎዥ ኣሶተ አሜቾ ቤሉ እስ ካደሞኖስተ አሜቾበአ» ዬሰ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	ROM-001-001	ሮሜ 1:1	መሲህ ኢስ ካዲንቹ እኮ ሶቀም ሆጎተ ገአሞ መገን እንጂለ ተማርሶተ መጠረሞ ጳዉሎሴች ሶሃሞሃ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	MAT-028-019	ማቶስ እንጂለ 28:19	ቴሱ መንቤቹ ጉዕመንከ መርቴን አንኤ ሱዕሚኒ፥ ቤት ሱዕሚኒለከ ጠሊለ አያን ሱዕሚኒ ጠመቄነን አዎናኑኤ አዕዬ።
Holy-Bible---Amo---Amo-Bible	JOH-003-016	Yuhana 3:16	Bara Kutelle nati usu inyii ulele, amini na ni gono kinin kirum cas, vat nlenge na ayinna ninghe, na ama nanu ba, ama se ulai un saligang.
Holy-Bible---Amo---Amo-Bible	GEN-003-024		
Holy-Bible---Amo---Amo-Bible	LUK-023-034	Luka 23:34	Yesu woro, “Ucif, wesse nani alapi mine, bara na iyiru imon ile na idin sue ba.” I tunna idinja timo, I koso imon me.
Holy-Bible---Amo---Amo-Bible	REV-021-002	Uruyan Yuhana 21:2-3	Nnye kipin kilau, urshalima upese, uwa tolu unuzu kiti Kutelle, ikelle ngne fo gankisono bar ulesse. Nlanza liwui lidya unuzu kiti lisosin me nworo, “Yene! Kiti lisosin Kutelle di nan nanit aba nin so nan nginu. Iba so anit me Kutelle litime ba yitu ligowe, amere tutung ba yitu Kutelle mine.
Holy-Bible---Amo---Amo-Bible	HEB-011-008	Ibraniyawa 11:8	Nin nyinnu sa uyenuari wati Ibrahim ku, kubi na Kutelle was yicilaghe, adofino anya udu kiti kanga na aba seru nafo ugadu, ame tinna anya sa uyiru kiti kaa na aba du.
Holy-Bible---Amo---Amo-Bible	EXO-013-017		
Holy-Bible---Amo---Amo-Bible	MAR-010-045	Markos 10:45	Na gonon in Nit nadak asu tigoh ba, awa dak nafo kucin, anan da serze ulai me bara anit.
Holy-Bible---Amo---Amo-Bible	ROM-001-001	Roma 1:1	Paul kuchin Yisa Kirsti, na ina yichilagne gono kadura, inin yisagne bara katuwa in nliru nlai Kutelle.
Holy-Bible---Amo---Amo-Bible	MAT-028-019	Matiyu 28:19	Bara nani, can nanya nipinpin nyii idi su uwazi ise nono katwa. Ishintu nani nmyen nanya lissa Ncif, nin Saun, a Uruhu ulau.
Holy-Bible---Apal---Apali-Bible	JOH-003-016	Jon 3:16	Asɨ dɨ Ninaŋ pabiŋ cɨki sɨbaŋ uami. Agadɨ ala Asɨ agaŋ hulaŋ iamɨgali fɨli hɨniavɨlalɨ agɨlasaŋ mavɨn hekɨlɨ hɨniavɨla abɨci mɨgami uami. Hulaŋ iamɨgali agɨlaŋ nusaŋ hɨji vɨdɨvɨdɨŋ lamalama ma sɨbɨlɨ lɨhavɨbali aba nudɨ abɨci mɨgami uami. Huaci hameŋ laci hameŋ laci hɨniavɨbali aba abɨci mɨgami uami.
Holy-Bible---Apal---Apali-Bible	GEN-003-024		
Holy-Bible---Apal---Apali-Bible	LUK-023-034	Lukɨ 23:34	Lɨhavɨci Jisasɨ abami. Iavaŋ uami. Hulaŋ nagɨlaŋ iadɨ sɨbɨlɨ lamavi uami. Agadɨ ala nɨbɨlaŋ iadɨ sɨbɨlɨ lamavi agadɨ hɨdɨlɨ ma igavɨlalɨ uami. Hameŋ sadaŋ nama nulɨdɨ hugɨ agɨladɨ hivɨha uami. Lɨci sagaŋ hɨsɨŋ hulemɨlɨ agɨlaŋ Jisasɨ dɨ hadi hɨlahɨla hutesɨ hutesɨ agɨladɨ labɨla vibalu aba kɨlɨ hɨlɨcɨ salaŋ iahuavɨmi.
Holy-Bible---Apal---Apali-Bible	REV-021-002	Ciaŋ haiabɨla lama abami 21:2-3	Lɨci Asɨ dɨ haiabɨla sebɨlɨ huaci sɨbaŋ agadɨ igin uami. Haiabɨla agadɨ ibi Jelusalem uami. Nɨbu Asɨ iahua hɨvɨ hɨnilalɨ heŋ hɨnia mɨgi uami. Iamɨgali muŋaŋ iahuben aba hajɨŋ huaci huaci agɨladɨ lamavɨla hɨniavɨlalɨ hameŋ agɨladɨ nudɨ hɨvɨ hajɨŋ lamɨci mɨgi uami. Lɨci igahɨlɨdalɨŋ Asɨ dɨ mɨgahɨnihɨni hɨsɨŋ uvɨ heŋ ciaŋ nameŋ vɨdɨvɨdɨŋ abi uami. Ci igɨnaŋ aba abi uami. Asɨ dɨ havɨlɨ ulaŋ agaŋ hulaŋ iamɨgali agɨlaŋ hula hɨnibali aba abi uami. Hɨnidaci hulaŋ iamɨgali agɨlaŋ Asɨ dɨ nukeŋ hulaŋ iamɨgali hɨniavɨbali aba abi uami. Asɨ nukeŋ avi nɨbɨlaŋ hula hɨnibali aba abi uami.
Holy-Bible---Apal---Apali-Bible	HEB-011-008	Ibɨlu 11:8	Ebɨlam agaŋ Asɨ saŋ hɨji vɨdɨvɨdɨŋ daŋ hɨnidaci Asɨ nudɨ abɨci nudɨ ciaŋ lubiahɨlami uami. La nudɨ fɨli tɨbɨ agadɨ valavɨla fɨli tɨbɨ mu heŋ umi uami. Fɨli tɨbɨ agadɨ Asɨ nusaŋ igu igu saŋ abami heŋ umi uami. Asɨ agaŋ Ebɨlam dɨ abeba uu saŋ abami agadɨ nɨbu ma igami uami. Agadɨ ala nɨbu hɨji vɨdɨvɨdɨŋ daŋ hɨnihɨni Asɨ dɨ ciaŋ agadɨ lubiahɨlavɨla umi uami.
Holy-Bible---Apal---Apali-Bible	EXO-013-017	Cɨhu vivi 13:17	Hɨfɨlɨ heŋ ala Isipɨ fɨli tɨbɨ hɨsɨŋ agɨladɨ manɨgali agaŋ abɨci uavɨdaci Asɨ agaŋ Isɨlaelɨ hɨdɨlɨ agɨlasaŋ hɨbɨ abalamami. Nɨbu hɨji nameŋ lamami. Isɨlaelɨ hɨdɨlɨ agɨladɨ hɨbɨ tɨbɨ cɨki hɨvɨ likɨla via ulɨŋ igavɨci hɨdɨlɨ mu agɨlaŋ nulɨsaŋ sagaŋ saŋ lɨhavɨci cɨhu hɨji mu lamavɨla Isipɨ fɨli tɨbɨ saŋ haŋɨlavɨla cɨhu vehavɨbali uami. Asɨ hɨji hameŋ lamavɨla Isɨlaelɨ hɨdɨlɨ agɨladɨ likɨla avɨli hekɨlɨ caba caba uavɨla Filisɨtia hɨdɨlɨ agɨladɨ fɨli tɨbɨ heŋ ma via umi.
Holy-Bible---Apal---Apali-Bible	MAR-010-045	Makɨ 10:45	Kulaŋ dɨ Ninaŋ agaŋ aveji haman laci ala uamalɨ. Nɨbu hɨmamɨgɨlɨ daŋ me hɨnihɨniŋ kulaŋ limu hɨhɨle agɨladɨ lɨbɨsɨlɨvadaci nudɨ salaku vivi saŋ ma vemalɨ uamalɨ. Nɨbu salaku hɨsɨŋ kulemɨlɨ me hɨnihɨniŋ kulaŋ iamɨgali agɨladɨ akɨliakuiaku salaku vivi saŋ vemalɨ uamalɨ. Nɨbu kulaŋ iamɨgali agɨladɨ vivi saŋ hɨmɨdaŋ aba vemalɨ uamalɨ.
Holy-Bible---Apal---Apali-Bible	ROM-001-001	Lom 1:1	Polɨ agaŋ ciaŋ manasɨŋ hɨvɨ nameŋ lɨbami. Viaŋ Polɨ uami. Jisasɨ Kɨlaisɨ iadɨ lɨbɨmɨŋɨci viaŋ nudɨ sibɨla hɨsɨŋ hulaŋ hɨnilan uami. Asɨ avi iadɨ lɨbɨmɨŋavɨla nudɨ ciaŋ sulasula saŋ abɨci nudɨ ciaŋ agadɨ sulasula hɨdɨlan uami.
Holy-Bible---Apal---Apali-Bible	MAT-028-019	Matiu 28:19	Hameŋ sadaŋ namɨlaŋ uavɨla hulaŋ iamɨgali hɨdɨlɨ mu mu sɨkasɨkan agɨladɨ abɨdalaŋ iasaŋ hɨji vɨdɨvɨdɨŋ lamavɨm uami. Lɨhavɨdaci avɨli hɨvɨ nulɨdɨ mɨŋamɨgu mɨŋaiahɨhalaŋ uami. Asɨ dɨ ibi hɨvɨ nudɨ Ninaŋ agadɨ ibi hɨvɨ nudɨ Amɨŋ agadɨ ibi hɨvɨ nulɨdɨ mɨŋamɨgu mɨŋaiahɨhalaŋ uami.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	JOH-003-016	يوحنَّا ٣:١٦	لِأَنَّهُ هَكَذَا أَحَبَّ ٱللهُ ٱلْعَالَمَ حَتَّى بَذَلَ ٱبْنَهُ ٱلْوَحِيدَ، لِكَيْ لَا يَهْلِكَ كُلُّ مَنْ يُؤْمِنُ بِهِ، بَلْ تَكُونُ لَهُ ٱلْحَيَاةُ ٱلْأَبَدِيَّةُ.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	GEN-003-024	اَلتَّكْوِينُ ٣:٢٤	فَطَرَدَ ٱلْإِنْسَانَ، وَأَقَامَ شَرْقِيَّ جَنَّةِ عَدْنٍ ٱلْكَرُوبِيمَ، وَلَهِيبَ سَيْفٍ مُتَقَلِّبٍ لِحِرَاسَةِ طَرِيقِ شَجَرَةِ ٱلْحَيَاةِ.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	LUK-023-034	لُوقا ٢٣:٣٤	فَقَالَ يَسُوعُ: «يَا أَبَتَاهُ، ٱغْفِرْ لَهُمْ، لِأَنَّهُمْ لَا يَعْلَمُونَ مَاذَا يَفْعَلُونَ». وَإِذِ ٱقْتَسَمُوا ثِيَابَهُ ٱقْتَرَعُوا عَلَيْهَا.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	REV-021-002	رُؤيا ٢١:٢-٣	وَأَنَا يُوحَنَّا رَأَيْتُ ٱلْمَدِينَةَ ٱلْمُقَدَّسَةَ أُورُشَلِيمَ ٱلْجَدِيدَةَ نَازِلَةً مِنَ ٱلسَّمَاءِ مِنْ عِنْدِ ٱللهِ مُهَيَّأَةً كَعَرُوسٍ مُزَيَّنَةٍ لِرَجُلِهَا. وَسَمِعْتُ صَوْتًا عَظِيمًا مِنَ ٱلسَّمَاءِ قَائِلًا: «هُوَذَا مَسْكَنُ ٱللهِ مَعَ ٱلنَّاسِ، وَهُوَ سَيَسْكُنُ مَعَهُمْ، وَهُمْ يَكُونُونَ لَهُ شَعْبًا، وَٱللهُ نَفْسُهُ يَكُونُ مَعَهُمْ إِلَهًا لَهُمْ.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	HEB-011-008	عِبرانِيّين ١١:٨	بِٱلْإِيمَانِ إِبْرَاهِيمُ لَمَّا دُعِيَ أَطَاعَ أَنْ يَخْرُجَ إِلَى ٱلْمَكَانِ ٱلَّذِي كَانَ عَتِيدًا أَنْ يَأْخُذَهُ مِيرَاثًا، فَخَرَجَ وَهُوَ لَا يَعْلَمُ إِلَى أَيْنَ يَأْتِي.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	EXO-013-017	اَلْخُرُوجُ ١٣:١٧	وَكَانَ لَمَّا أَطْلَقَ فِرْعَوْنُ ٱلشَّعْبَ أَنَّ ٱللهَ لَمْ يَهْدِهِمْ فِي طَرِيقِ أَرْضِ ٱلْفِلِسْطِينِيِّينَ مَعَ أَنَّهَا قَرِيبَةٌ، لِأَنَّ ٱللهَ قَالَ: «لِئَلَّا يَنْدَمَ ٱلشَّعْبُ إِذَا رَأَوْا حَرْبًا وَيَرْجِعُوا إِلَى مِصْرَ».
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	MAR-010-045	مَرْقُس ١٠:٤٥	لِأَنَّ ٱبْنَ ٱلْإِنْسَانِ أَيْضًا لَمْ يَأْتِ لِيُخْدَمَ بَلْ لِيَخْدِمَ وَلِيَبْذِلَ نَفْسَهُ فِدْيَةً عَنْ كَثِيرِينَ».
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	ROM-001-001	رُوما ١:١	بُولُسُ، عَبْدٌ لِيَسُوعَ ٱلْمَسِيحِ، ٱلْمَدْعُوُّ رَسُولًا، ٱلْمُفْرَزُ لِإِنْجِيلِ ٱللهِ،
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	MAT-028-019	مَتَّى ٢٨:١٩	فَٱذْهَبُوا وَتَلْمِذُوا جَمِيعَ ٱلْأُمَمِ وَعَمِّدُوهُمْ بِٱسْمِ ٱلْآبِ وَٱلِٱبْنِ وَٱلرُّوحِ ٱلْقُدُسِ.
Holy-Bible---Arabic---New-Arabic-Bible	JOH-003-016	يوحنَّا ٣:١٦	لأَنَّهُ هكَذَا أَحَبَّ اللهُ الْعَالَمَ حَتَّى بَذَلَ ابْنَهُ الْوَحِيدَ، لِكَيْ لَا يَهْلِكَ كُلُّ مَنْ يُؤْمِنُ بِهِ، بَلْ تَكُونُ لَهُ الْحَيَاةُ الأَبَدِيَّةُ.
Holy-Bible---Arabic---New-Arabic-Bible	GEN-003-024	تكوين ٣:٢٤	وَهَكَذَا طَرَدَ اللهُ الإِنْسَانَ مِنْ جَنَّةِ عَدْنٍ، وَأَقَامَ مَلائِكَةَ الْكَرُوبِيمِ وَسَيْفاً نَارِيًّا مُتَقَلِّباً شَرْقِيَّ الْجَنَّةِ لِحِرَاسَةِ الطَّرِيقِ الْمُفْضِيَةِ إِلَى «شَجَرَةِ الْحَيَاةِ».
Holy-Bible---Arabic---New-Arabic-Bible	LUK-023-034	لُوقا ٢٣:٣٤	وَقَالَ يَسُوعُ: «يَا أَبِي، اغْفِرْ لَهُمْ، لأَنَّهُمْ لَا يَدْرُونَ مَا يَفْعَلُونَ!» وَاقْتَسَمُوا ثِيَابَهُ مُقْتَرِعِينَ عَلَيْهَا.
Holy-Bible---Arabic---New-Arabic-Bible	REV-021-002	رُؤيا ٢١:٢-٣	وَأَنَا رَأَيْتُ الْمَدِينَةَ الْمُقَدَّسَةَ، أُورُشَلِيمَ الْجَدِيدَةَ، نَازِلَةً مِنَ السَّمَاءِ مِنْ عِنْدِ اللهِ، مُجَهَّزَةً كَأَنَّهَا عَرُوسٌ مُزَيَّنَةٌ لِعَرِيسِهَا. وَسَمِعْتُ صَوْتاً هَاتِفاً مِنَ الْعَرْشِ: «الآنَ صَارَ مَسْكَنُ اللهِ مَعَ النَّاسِ، هُوَ يَسْكُنُ بَيْنَهُمْ، وَهُمْ يَصِيرُونَ شَعْباً لَهُ. اللهُ نَفْسُهُ يَكُونُ مَعَهُمْ إِلهاً لَهُمْ!
Holy-Bible---Arabic---New-Arabic-Bible	HEB-011-008	عِبرانِيّين ١١:٨	وَبِالإِيمَانِ، لَبَّى إِبْرَاهِيمُ دَعْوَةَ اللهِ، فَتَرَكَ وَطَنَهُ وَانْطَلَقَ إِلَى أَرْضٍ أُخْرَى وَعَدَهُ اللهُ بِأَنْ يُوَرِّثَهُ إِيَّاهَا. وَلَمَّا خَرَجَ مِنْ بَيْتِهِ، لَمْ يَكُنْ يَعْرِفُ أَيْنَ يَتَوَجَّهُ.
Holy-Bible---Arabic---New-Arabic-Bible	EXO-013-017	خرُوج ١٣:١٧	وَعِنْدَمَا أَطْلَقَ فِرْعَوْنُ الشَّعْبَ لَمْ يَقُدْهُمُ اللهُ فِي طَرِيقِ بِلادِ الْفِلِسْطِينِيِّينَ عَلَى الرَّغْمِ مِنْ قِصَرِهَا. لأَنَّ اللهَ قَالَ لِئَلّا يَنْدَمَ الشَّعْبُ إِذَا تَعَرَّضَ لِحَرْبٍ وَيَرْجِعَ إِلَى مِصْرَ.
Holy-Bible---Arabic---New-Arabic-Bible	MAR-010-045	مَرْقُس ١٠:٤٥	فَحَتَّى ابْنُ الإِنْسَانِ قَدْ جَاءَ لَا لِيُخْدَمَ، بَلْ لِيَخْدِمَ وَيَبْذِلَ نَفْسَهُ فِدْيَةً عَنْ كَثِيرِينَ».
Holy-Bible---Arabic---New-Arabic-Bible	ROM-001-001	رُوما ١:١	مِنْ بُولُسَ عَبْدِ يَسُوعَ المَسِيحِ، الرَّسُولِ الْمَدْعُوِّ وَالْمُفْرَزِ لإِنْجِيلِ اللهِ،
Holy-Bible---Arabic---New-Arabic-Bible	MAT-028-019	مَتَّى ٢٨:١٩	فَاذْهَبُوا إِذَنْ، وَتَلْمِذُوا جَمِيعَ الأُمَمِ، وَعَمِّدُوهُمْ بِاسْمِ الآبِ وَالاِبْنِ وَالرُّوحِ الْقُدُسِ؛
Holy-Bible---Aramaic---Syriac-Peshitta	JOH-003-016	ܝܘܚܢܢ 3:16	ܗܟܢܐ ܓܝܪ ܐܚܒ ܐܠܗܐ ܠܥܠܡܐ ܐܝܟܢܐ ܕܠܒܪܗ ܝܚܝܕܝܐ ܢܬܠ ܕܟܠ ܡܢ ܕܡܗܝܡܢ ܒܗ ܠܐ ܢܐܒܕ ܐܠܐ ܢܗܘܘܢ ܠܗ ܚܝܐ ܕܠܥܠܡ
Holy-Bible---Aramaic---Syriac-Peshitta	GEN-003-024		
Holy-Bible---Aramaic---Syriac-Peshitta	LUK-023-034	ܠܘܩܘܣ 23:34	ܗܘ ܕܝܢ ܝܫܘܥ ܐܡܪ ܗܘܐ ܐܒܐ ܫܒܘܩ ܠܗܘܢ ܠܐ ܓܝܪ ܝܕܥܝܢ ܡܢܐ ܥܒܕܝܢ ܘܦܠܓܘ ܢܚܬܘܗܝ ܘܐܪܡܝܘ ܥܠܝܗܘܢ ܦܤܐ
