# File Name: SKIPPED.txt
# File Size: 1878046     
# File Date: 12/28/2025 10:21:19
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	TEXT
Holy-Bible---Beami---Bedamuni-Bible	011	1KI	007	017	-
Holy-Bible---Beami---Bedamuni-Bible	011	1KI	008	041	-
Holy-Bible---Beami---Bedamuni-Bible	011	1KI	009	020	-
Holy-Bible---Beami---Bedamuni-Bible	011	1KI	010	019	-
Holy-Bible---Beami---Bedamuni-Bible	011	1KI	011	009	-
Holy-Bible---Beami---Bedamuni-Bible	011	1KI	011	015	-
Holy-Bible---Beami---Bedamuni-Bible	011	1KI	012	026	-
Holy-Bible---Beami---Bedamuni-Bible	011	1KI	018	036	-
Holy-Bible---Beami---Bedamuni-Bible	012	2KI	011	005	-
Holy-Bible---Beami---Bedamuni-Bible	012	2KI	012	011	-
Holy-Bible---Beami---Bedamuni-Bible	012	2KI	012	020	-
Holy-Bible---Beami---Bedamuni-Bible	012	2KI	024	003	-
Holy-Bible---Beami---Bedamuni-Bible	012	2KI	025	020	-
Holy-Bible---Beami---Bedamuni-Bible	013	1CH	026	004	-
Holy-Bible---Beami---Bedamuni-Bible	014	2CH	002	011	-
Holy-Bible---Beami---Bedamuni-Bible	014	2CH	004	003	-
Holy-Bible---Beami---Bedamuni-Bible	014	2CH	004	007	-
Holy-Bible---Beami---Bedamuni-Bible	014	2CH	006	032	-
Holy-Bible---Beami---Bedamuni-Bible	014	2CH	008	007	-
Holy-Bible---Beami---Bedamuni-Bible	014	2CH	009	018	-
Holy-Bible---Beami---Bedamuni-Bible	014	2CH	022	002	-
Holy-Bible---Beami---Bedamuni-Bible	014	2CH	025	011	-
Holy-Bible---Beami---Bedamuni-Bible	014	2CH	028	002	-
Holy-Bible---Beami---Bedamuni-Bible	014	2CH	032	003	-
Holy-Bible---Beami---Bedamuni-Bible	014	2CH	035	018	-
Holy-Bible---Beami---Bedamuni-Bible	015	EZR	002	059	-
Holy-Bible---Beami---Bedamuni-Bible	015	EZR	002	061	-
Holy-Bible---Beami---Bedamuni-Bible	015	EZR	008	026	-
Holy-Bible---Beami---Bedamuni-Bible	015	EZR	010	031	-
Holy-Bible---Beami---Bedamuni-Bible	017	EST	005	007	-
Holy-Bible---Beami---Bedamuni-Bible	017	EST	006	007	-
Holy-Bible---Beami---Bedamuni-Bible	017	EST	009	026	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	003	002	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	006	019	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	007	009	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	009	021	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	009	027	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	012	012	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	012	024	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	015	026	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	020	012	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	021	023	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	021	032	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	023	016	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	027	003	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	038	037	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	038	039	-
Holy-Bible---Beami---Bedamuni-Bible	018	JOB	040	003	-
Holy-Bible---Beami---Bedamuni-Bible	019	PSA	105	044	-
Holy-Bible---Beami---Bedamuni-Bible	019	PSA	116	010	-
Holy-Bible---Beami---Bedamuni-Bible	020	PRO	026	018	-
Holy-Bible---Beami---Bedamuni-Bible	021	ECC	004	013	-
Holy-Bible---Beami---Bedamuni-Bible	022	SOL	004	013	-
Holy-Bible---Beami---Bedamuni-Bible	023	ISA	002	017	-
Holy-Bible---Beami---Bedamuni-Bible	023	ISA	022	009	-
Holy-Bible---Beami---Bedamuni-Bible	023	ISA	033	022	-
Holy-Bible---Beami---Bedamuni-Bible	023	ISA	059	005	-
Holy-Bible---Beami---Bedamuni-Bible	023	ISA	063	012	-
Holy-Bible---Beami---Bedamuni-Bible	023	ISA	065	021	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	001	018	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	005	013	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	009	005	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	009	025	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	017	021	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	025	036	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	027	019	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	029	031	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	030	021	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	030	023	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	034	006	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	034	012	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	034	018	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	035	009	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	035	012	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	041	017	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	044	024	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	046	022	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	046	025	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	051	022	-
Holy-Bible---Beami---Bedamuni-Bible	024	JER	052	021	-
Holy-Bible---Beami---Bedamuni-Bible	025	LAM	003	035	-
Holy-Bible---Beami---Bedamuni-Bible	026	EZE	004	004	-
Holy-Bible---Beami---Bedamuni-Bible	026	EZE	023	014	-
Holy-Bible---Beami---Bedamuni-Bible	026	EZE	027	018	-
Holy-Bible---Beami---Bedamuni-Bible	026	EZE	032	024	-
Holy-Bible---Beami---Bedamuni-Bible	026	EZE	042	007	-
Holy-Bible---Beami---Bedamuni-Bible	026	EZE	042	009	-
Holy-Bible---Beami---Bedamuni-Bible	026	EZE	046	021	-
Holy-Bible---Beami---Bedamuni-Bible	027	DAN	002	008	-
Holy-Bible---Beami---Bedamuni-Bible	027	DAN	010	020	-
Holy-Bible---Beami---Bedamuni-Bible	028	HOS	002	004	-
Holy-Bible---Beami---Bedamuni-Bible	028	HOS	002	021	-
Holy-Bible---Beami---Bedamuni-Bible	029	JOE	003	020	-
Holy-Bible---Beami---Bedamuni-Bible	030	AMO	005	026	-
Holy-Bible---Beami---Bedamuni-Bible	034	NAH	002	011	-
Holy-Bible---Beami---Bedamuni-Bible	041	MAR	001	043	-
Holy-Bible---Beami---Bedamuni-Bible	043	JOH	010	014	-
Holy-Bible---Beami---Bedamuni-Bible	044	ACT	001	021	-
Holy-Bible---Beami---Bedamuni-Bible	044	ACT	008	027	-
Holy-Bible---Beami---Bedamuni-Bible	044	ACT	013	032	-
Holy-Bible---Beami---Bedamuni-Bible	045	ROM	003	025	-
Holy-Bible---Beami---Bedamuni-Bible	045	ROM	009	011	-
Holy-Bible---Beami---Bedamuni-Bible	046	1CO	005	003	-
Holy-Bible---Beami---Bedamuni-Bible	046	1CO	005	012	-
Holy-Bible---Beami---Bedamuni-Bible	046	1CO	010	006	-
Holy-Bible---Beami---Bedamuni-Bible	046	1CO	015	051	-
Holy-Bible---Beami---Bedamuni-Bible	047	2CO	001	010	-
Holy-Bible---Beami---Bedamuni-Bible	047	2CO	001	013	-
Holy-Bible---Beami---Bedamuni-Bible	047	2CO	006	006	-
Holy-Bible---Beami---Bedamuni-Bible	047	2CO	008	013	-
Holy-Bible---Beami---Bedamuni-Bible	047	2CO	012	003	-
Holy-Bible---Beami---Bedamuni-Bible	049	EPH	001	019	-
Holy-Bible---Beami---Bedamuni-Bible	049	EPH	002	008	-
Holy-Bible---Beami---Bedamuni-Bible	051	COL	001	011	-
Holy-Bible---Beami---Bedamuni-Bible	052	1TH	005	009	-
Holy-Bible---Beami---Bedamuni-Bible	053	2TH	001	007	-
Holy-Bible---Beami---Bedamuni-Bible	056	TIT	001	012	-
Holy-Bible---Beami---Bedamuni-Bible	059	JAM	001	007	-
Holy-Bible---Beami---Bedamuni-Bible	059	JAM	002	003	-
Holy-Bible---Beami---Bedamuni-Bible	059	JAM	005	019	-
Holy-Bible---Beami---Bedamuni-Bible	064	3JO	001	014	Na da dima hedolowane misini, dia odagia sia:mu hanai gala.
Holy-Bible---Beami---Bedamuni-Bible	065	JUD	001	014	-
Holy-Bible---Beami---Bedamuni-Bible	066	REV	012	018	Amola hanome da hano wayabo bagade bega: lelu.
Holy-Bible---Bekwel---Bekwel-Bible	041	MAR	009	046	]
Holy-Bible---Bekwel---Bekwel-Bible	044	ACT	028	029	]
Holy-Bible---Bekwel---Bekwel-Bible	064	3JO	001	014	Mɛ ɛ́ nɛ ɛbwaalel náá, mena waaboma tɔ mɛlu mak. E di'enek, menabɛl bɛbá waamɔ.
Holy-Bible---Bekwel---Bekwel-Bible	066	REV	012	018	É di'enek, dhalaghɔŋ nazɛtɔ́ kɛtyaa é ngwoob bɛsyɛ boo dii mɛsɔn.
Holy-Bible---Bengali---Bengali-Bible	044	ACT	015	034	
Holy-Bible---Bengali---Bengali-Bible	064	3JO	001	014	আশাকরি, শীঘ্রই তোমাকে দেখব, তখন আমরা সামনা সামনি হয়ে কথাবার্তা বলব।
Holy-Bible---Bengali---Bengali-Bible	066	REV	012	018	তখন সেই বিরাটাকার সাপটি সমুদ্রের বালুকাময় কিনারে দাঁড়াল।
Holy-Bible---Bengali---Contemporary	064	3JO	001	014	আশা করি, অচিরেই তোমার সঙ্গে সাক্ষাৎ হবে; আমরা মুখোমুখি সব আলোচনা করব।
Holy-Bible---Bhadrawahi---Bhadrawahi-Bible	064	3JO	001	014	पन मीं उमीदे कि अवं तीं सेइं जल्दी मुलाकत केरेलो, तैखन अस आमने-सामने गल्लां केरमेले।
Holy-Bible---Bhadrawahi---Bhadrawahi-Bible	066	REV	012	018	तैखन अजगर जेव, ते समुन्दरेरे बन्ने पुड़ खड़ो भोव।
Holy-Bible---Bhattiyali---Bhattiyali-Bible	064	3JO	001	014	पर मिंजो आस है, की मैं तुहाड़े बाल ओंऐ, कने आमणे सामणे होईकरी गल्लां करे तालू असां पूरी तरा ला खुश होणा।
Holy-Bible---Bhattiyali---Bhattiyali-Bible	066	REV	012	018	तालू सै अजगर चली गिया कने समुंद्रे दे कंडे पर खड़ोई गिया।
Holy-Bible---Bhilali---Bhilali-Bible	064	3JO	001	014	बाकुन मे छाटुस आवीन तुसेक भेळु हवणेन आस कर रयु। ने जत्‌यार मे तारेन चां आवीन तुसेक भेळु हय्‌स, तत्‌यार आपणु आंबा-सांबा वात करसु।
Holy-Bible---Bhilali---Bhilali-Bible	066	REV	012	018	ने चु दरीयान रेतळा पर जाय्‌न हुबु हय गुयु।
Holy-Bible---Bodo-Parja---BOPO-Bible	064	3JO	001	014	ମର୍‌ ଆସା ଜେ, ବେଗି ତୁମାର୍‌ ସଃଙ୍ଗ୍ ବେଟ୍‌ ଅୟ୍‌ଦ୍‌ ଆର୍‌ ଅଃମିମଃନ୍‌ ଗଟେତଃୟ୍‌ ବଃସି ଗଟିକଃତା କଃରୁଆଁ ।
Holy-Bible---Bodo-Parja---BOPO-Bible	066	REV	012	018	ଆର୍‌ ସେ ସଃମ୍‌ନ୍ଦାର୍‌ ବାଲି ଉହ୍ରେ ଟିଆ ଅୟ୍‌ଲି ।
Holy-Bible---Borna---Borna-Latin-Bible	045	ROM	016	024	
Holy-Bible---Borna---Borna-Latin-Bible	064	3JO	001	014	Karnon neen bek'oshe jangirwe, manoor noonon keewetwone.
Holy-Bible---Borna---Borna-Latin-Bible	066	REV	012	018	Daruwonwere aats k'ari gúúratsi shiyaats need'b́wutsi.
Holy-Bible---Bu---Bu-Bible	047	2CO	006	017	
Holy-Bible---Bu---Bu-Bible	064	3JO	001	014	Mi you suran di mi toh tu lalo mu na ki ki tre shi shi.
Holy-Bible---Bu---Bu-Bible	066	REV	012	018	Niki dragon a hon kri nitu yashi wu nyu kpantre maa.
Holy-Bible---Bugun---Bugun-Bible	064	3JO	001	014	Gu ne luthong nathek shii ne khthiie si ruii, chiihphado gethek ne ò jia shii nyamulo muii phro.
Holy-Bible---Bugun---Bugun-Bible	066	REV	012	018	Chiih-è hakhliingmuii yi khamuiiring shii riu dun ro.
Holy-Bible---Bulgarian---Bulgarian-Bible	016	NEH	012	047	И в дните на Зоровавела и в дните на Неемия, целият Израил даваха определените за всеки ден дялове на певците и на вратарите;
Holy-Bible---Bulgarian---Bulgarian-Bible	018	JOB	011	020	А очите на нечестивите ще изтекат; Прибежище не ще има за тях;
Holy-Bible---Bulgarian---Bulgarian-Bible	038	ZEC	010	011	Като премине Той върху морето, Ще порази вълните на морето,
Holy-Bible---Bulgarian---Bulgarian-Bible	044	ACT	002	010	
Holy-Bible---Bulgarian---Bulgarian-Bible	044	ACT	002	020	
Holy-Bible---Bulgarian---Bulgarian-Bible	044	ACT	002	030	
Holy-Bible---Cebuano---Cebuano-Bible	040	MAT	017	021	.
Holy-Bible---Cebuano---Cebuano-Bible	040	MAT	018	011	
Holy-Bible---Cebuano---Cebuano-Bible	045	ROM	016	024	
Holy-Bible---Cebuano---Cebuano-Bible	064	3JO	001	014	Apan nagdahom ako sa pagpakigkita kanimo sa dili madugay, ug mag-atubangay kita sa pag-istoryahanay sa usag-usa.
Holy-Bible---Cebuano---Cebuano-Bible	066	REV	012	018	Unya ang dragon mitindog didto sa balas sa baybayon.
Holy-Bible---Cebuano---Cebuano-Open-Bible	064	3JO	001	014	Hisgotan na lang unya nato kini kon moabot ako diha kay aduna akoy plano nga makigkita kanimo sa labing daling panahon.
Holy-Bible---Cebuano---Cebuano-Open-Bible	066	REV	012	018	Ug ang dragon mitindog sa baybayon.
Holy-Bible---Chhattisgarhi---Chhattisgarhi-Bible	064	3JO	001	014	मोला आसा हवय कि तोर संग जल्दी भेंट होही अऊ तब हमन एक संग बईठके गोठियाबो।
Holy-Bible---Chichewa---Chichewa-Bible	064	3JO	001	014	Ndiyembekezera kufika kwanuko posachedwapa, ndipo tidzakambirana pamaso ndi pamaso.
Holy-Bible---Chichewa---Chichewa-Bible	066	REV	012	018	Kenaka ndinaona chinjokacho chitayima mʼmbali mwa nyanja.
Holy-Bible---Chin-Daai---Daai-Chin-Bible	064	3JO	001	014	Sängsäng se ning jah hmuh law vaia ka ngaiki. Acun üng mi püi hmu lü mi ngthuhei be kawm u. Acunüng, akhyang puma mi ngthuei law khaie.
