# File Name: ANAVIGATION.txt
# File Size: 41172       
# File Date: 12/28/2025 12:51:34
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	STATUS	MISSING
Holy-Bible---Dombe---Dombe-Bible		
Holy-Bible---Dongxiang---Donxian-Bible		
Holy-Bible---Dongxiang---Donxian-Bible	VERSMISS	058-HEB-006-002
Holy-Bible---Dutch---Canisiusvertaling		
Holy-Bible---Dutch---Leuvense-Bible		
Holy-Bible---Dutch---Schrift		
Holy-Bible---Dutch---Statenvertaling		
Holy-Bible---Duya---Duya-Bible		
Holy-Bible---Ekajuk---Ekajuk-Bible		
Holy-Bible---English---A-Conservative-Version		
Holy-Bible---English---Aionian-Bible		
Holy-Bible---English---American-Standard-Version-1901		
Holy-Bible---English---Anderson-Bible		
Holy-Bible---English---Berean-Standard		
Holy-Bible---English---Bible-in-Basic-English		
Holy-Bible---English---Brenton-English-Septuagint		
Holy-Bible---English---British-English-Septuagint-2012		
Holy-Bible---English---Catholic-Public-Domain		
Holy-Bible---English---Darby-Translation		
Holy-Bible---English---Douay-Rheims-1899		
Holy-Bible---English---Family-35-NT		
Holy-Bible---English---Free-Bible-Version		
Holy-Bible---English---Geneva-Bible		
Holy-Bible---English---Godbey-Bible		
Holy-Bible---English---Godbey-Bible	VERSMISS	040-MAT-005-030
Holy-Bible---English---Gods-Living-Word		
Holy-Bible---English---Haweis-Bible		
Holy-Bible---English---Jewish-Bible		
Holy-Bible---English---King-James-Version		
Holy-Bible---English---King-James-Version-American		
Holy-Bible---English---King-James-Version-Cambridge		
Holy-Bible---English---King-James-Version-Restored-Name		
Holy-Bible---English---King-James-Version-Revised		
Holy-Bible---English---King-James-Version-Updated		
Holy-Bible---English---LXX2012-U-S-English		
Holy-Bible---English---Leeser-Tanakh		
Holy-Bible---English---Literal-Standard		
Holy-Bible---English---Living-Oracles-NT		
Holy-Bible---English---Majority-Standard-Bible		
Holy-Bible---English---Montgomery-NT		
Holy-Bible---English---New-Heart-Aramaic		
Holy-Bible---English---New-Heart-Jehovah		
Holy-Bible---English---New-Heart-Jesus-Messiah		
Holy-Bible---English---New-Heart-Messianic		
Holy-Bible---English---New-Heart-Standard		
Holy-Bible---English---New-Heart-YHWH		
Holy-Bible---English---Noyes		
Holy-Bible---English---One-Unity-Resource-Bible		
Holy-Bible---English---Open-English-Bible-Commonwealth		
Holy-Bible---English---Open-English-Bible-US		
Holy-Bible---English---Orthodox-Jewish-Bible		
Holy-Bible---English---Revised-Version		
Holy-Bible---English---Rotherham-Bible		
Holy-Bible---English---STEPBible-Amalgamant		
Holy-Bible---English---STEPBible-Concordant		
Holy-Bible---English---Syriac-Peshitta-Etheridge		
Holy-Bible---English---Syriac-Peshitta-Murdock		
Holy-Bible---English---Text-Critical		
Holy-Bible---English---Trans-Trans		
Holy-Bible---English---Twentieth-Century-NT		
Holy-Bible---English---Tyndale-Bible		
Holy-Bible---English---Unlocked-Literal-Bible		
Holy-Bible---English---Webster-Bible		
Holy-Bible---English---Webster-Bible-Revised		
Holy-Bible---English---Weymouth-NT		
Holy-Bible---English---World-English-Bible		
Holy-Bible---English---World-English-Bible-British-Edition		
Holy-Bible---English---World-English-Bible-Updated		
Holy-Bible---English---World-Messianic-Bible		
Holy-Bible---English---World-Messianic-Bible-British-Edition		
Holy-Bible---English---Worsley-Bible		
Holy-Bible---English---Wycliffe-Bible		
Holy-Bible---English---Youngs-Literal-Translation		
Holy-Bible---Esperanto---Esperanto-Bible		
Holy-Bible---Estonian---Contemporary		
Holy-Bible---Estonian---For-All		
Holy-Bible---Etulo---Etulo-Bible		
Holy-Bible---Ewe---Word-of-Life		
Holy-Bible---Falam---Falam-Chin-Bible		
Holy-Bible---Finnish---Finnish-Bible		
Holy-Bible---Finnish---Finnish-Pyha-Raamattu		
Holy-Bible---Finnish---Open-Living-News		
Holy-Bible---Flemish---Flemish-De-Jonge-Bible		
Holy-Bible---French---Bonnet-Bovet-Bible		
Holy-Bible---French---Free-for-the-World		
Holy-Bible---French---French-Crampon-Bible		
Holy-Bible---French---French-Crampon-Bible-New		
Holy-Bible---French---French-Darby-Bible		
Holy-Bible---French---French-Khan-Bible		
Holy-Bible---French---French-LXX		
Holy-Bible---French---French-LXX-TheoTex		
Holy-Bible---French---French-Louis-Segond-1910-Bible		
Holy-Bible---French---French-Martin		
Holy-Bible---French---French-Oltramare-Bible		
Holy-Bible---French---French-Ostervald-Bible		
Holy-Bible---French---French-Perret-Gentil-Rilliet		
Holy-Bible---French---French-Stapfer-Bible		
Holy-Bible---French---French-Synodale-Bible		
Holy-Bible---French---Geneva-Bible		
Holy-Bible---French---Vulgate-Glaire		
Holy-Bible---Gamit---Gamit-Bible		
Holy-Bible---Gamit---Gamit-Bible	VERSMISS	066-REV-004-010
Holy-Bible---Gamit---Gamit-Bible	VERSMISS	066-REV-020-013
Holy-Bible---Gamit---Gamit-Bible	VERSMISS	066-REV-020-015
Holy-Bible---Gamo---Gamo-Bible		
Holy-Bible---Gamo---Gamo-Bible	VERSMISS	001-GEN-044-031
Holy-Bible---Gamo---Gamo-Bible	VERSMISS	040-MAT-028-020
Holy-Bible---Gamo---Gamo-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Gamo---Gamo-Bible	VERSMISS	042-LUK-001-070
Holy-Bible---Gamo---Gamo-Bible-Latin		
Holy-Bible---Gamo---Gamo-Bible-Latin	VERSMISS	001-GEN-044-031
Holy-Bible---Gamo---Gamo-Bible-Latin	VERSMISS	040-MAT-028-020
Holy-Bible---Gamo---Gamo-Bible-Latin	VERSMISS	042-LUK-001-055
Holy-Bible---Gamo---Gamo-Bible-Latin	VERSMISS	042-LUK-001-070
Holy-Bible---Gamotso---Gamo		
Holy-Bible---Gamotso---Gamo	VERSMISS	066-REV-022-005
Holy-Bible---Gata---Gata-Didayi-Bible		
Holy-Bible---Gayil---Gayl-Bible		
Holy-Bible---Geji---Geji-Bible		
Holy-Bible---Geji---Geji-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---German---German-Albrecht		
Holy-Bible---German---German-Elberfelder-1871		
Holy-Bible---German---German-Elberfelder-1905		
Holy-Bible---German---German-Katholiche-Riessler		
Holy-Bible---German---German-Kautzsch-Weizsacker		
Holy-Bible---German---German-Luther-Bible-1545		
Holy-Bible---German---German-Luther-Bible-1912		
Holy-Bible---German---German-Menge		
Holy-Bible---German---German-Reinhardt-Bible		
Holy-Bible---German---German-Schlachter		
Holy-Bible---German---German-Tafel-Bible		
Holy-Bible---German---Open-Bible		
Holy-Bible---German---Open-Bible	CHAPMISS	001-GEN-042-038
Holy-Bible---German---Open-Bible	CHAPMISS	004-NUM-016-030
Holy-Bible---German---Open-Bible	CHAPMISS	004-NUM-016-033
Holy-Bible---German---Open-Bible	CHAPMISS	018-JOB-007-009
Holy-Bible---German---Open-Bible	CHAPMISS	018-JOB-011-008
Holy-Bible---German---Open-Bible	CHAPMISS	018-JOB-014-013
Holy-Bible---German---Open-Bible	CHAPMISS	018-JOB-017-013
Holy-Bible---German---Open-Bible	CHAPMISS	018-JOB-017-016
Holy-Bible---German---Open-Bible	CHAPMISS	018-JOB-021-013
Holy-Bible---German---Open-Bible	CHAPMISS	018-JOB-024-019
Holy-Bible---German---Open-Bible	CHAPMISS	018-JOB-026-006
Holy-Bible---German---Open-Bible	CHAPMISS	019-PSA-049-014
Holy-Bible---German---Open-Bible	CHAPMISS	019-PSA-049-015
Holy-Bible---German---Open-Bible	CHAPMISS	019-PSA-055-015
Holy-Bible---German---Open-Bible	CHAPMISS	019-PSA-086-013
Holy-Bible---German---Open-Bible	CHAPMISS	019-PSA-089-048
Holy-Bible---German---Open-Bible	CHAPMISS	019-PSA-116-003
Holy-Bible---German---Open-Bible	CHAPMISS	019-PSA-139-008
Holy-Bible---German---Open-Bible	CHAPMISS	019-PSA-141-007
Holy-Bible---German---Open-Bible	CHAPMISS	040-MAT-019-016
Holy-Bible---German---Open-Bible	CHAPMISS	040-MAT-019-029
Holy-Bible---German---Open-Bible	CHAPMISS	040-MAT-021-019
Holy-Bible---German---Open-Bible	VERSMISS	040-MAT-023-033
Holy-Bible---German---Open-Bible	CHAPMISS	040-MAT-024-003
Holy-Bible---German---Open-Bible	VERSMISS	042-LUK-001-033
Holy-Bible---German---Open-Bible	VERSMISS	042-LUK-001-070
Holy-Bible---German---Open-Bible	CHAPMISS	042-LUK-008-031
Holy-Bible---German---Open-Bible	CHAPMISS	042-LUK-010-015
Holy-Bible---German---Open-Bible	CHAPMISS	042-LUK-012-005
Holy-Bible---German---Open-Bible	VERSMISS	042-LUK-016-023
Holy-Bible---German---Open-Bible	VERSMISS	042-LUK-020-034
Holy-Bible---German---Open-Bible	VERSMISS	042-LUK-020-035
Holy-Bible---German---Open-Bible	CHAPMISS	044-ACT-003-021
Holy-Bible---German---Open-Bible	CHAPMISS	044-ACT-013-046
Holy-Bible---German---Open-Bible	CHAPMISS	044-ACT-013-048
Holy-Bible---German---Open-Bible	CHAPMISS	044-ACT-015-018
Holy-Bible---German---Open-Bible	CHAPMISS	045-ROM-011-036
Holy-Bible---German---Open-Bible	CHAPMISS	045-ROM-012-002
Holy-Bible---German---Open-Bible	CHAPMISS	045-ROM-016-025
Holy-Bible---German---Open-Bible	CHAPMISS	045-ROM-016-026
Holy-Bible---German---Open-Bible	CHAPMISS	045-ROM-016-027
Holy-Bible---German---Open-Bible	CHAPMISS	046-1CO-008-013
Holy-Bible---German---Open-Bible	VERSMISS	046-1CO-010-011
Holy-Bible---German---Open-Bible	VERSMISS	046-1CO-015-055
Holy-Bible---German---Open-Bible	CHAPMISS	047-2CO-009-009
Holy-Bible---German---Open-Bible	CHAPMISS	048-GAL-006-008
Holy-Bible---German---Open-Bible	CHAPMISS	049-EPH-006-012
Holy-Bible---German---Open-Bible	VERSMISS	058-HEB-001-008
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-005-006
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-005-009
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-006-002
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-006-005
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-006-020
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-007-017
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-007-021
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-007-024
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-007-028
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-009-012
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-009-014
Holy-Bible---German---Open-Bible	CHAPMISS	058-HEB-013-021
Holy-Bible---German---Open-Bible	VERSMISS	060-1PE-001-023
Holy-Bible---German---Open-Bible	VERSMISS	060-1PE-001-025
Holy-Bible---German---Open-Bible	CHAPMISS	060-1PE-004-011
Holy-Bible---German---Open-Bible	CHAPMISS	061-2PE-002-004
Holy-Bible---German---Open-Bible	CHAPMISS	061-2PE-003-018
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-006-008
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-009-001
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-009-002
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-009-011
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-010-006
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-011-007
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-011-015
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-014-006
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-014-011
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-015-007
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-017-008
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-019-003
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-019-020
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-020-001
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-020-003
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-020-010
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-020-013
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-020-014
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-020-015
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-021-008
Holy-Bible---German---Open-Bible	CHAPMISS	066-REV-022-005
Holy-Bible---German---Zurich-Bible		
Holy-Bible---Ghanongga---Kubokota-Adapt-Bible		
Holy-Bible---Gikuyu---Kikuyu		
Holy-Bible---Glavda---Glavda-Bible		
Holy-Bible---Gofa---Gofa-Bible		
Holy-Bible---Gofa---Gofa-Bible-Ethiopian		
Holy-Bible---Gofa---Gofa-Bible-Ethiopian	VERSMISS	001-GEN-044-031
Holy-Bible---Gofa---Gofa-Bible-Ethiopian	VERSMISS	043-JOH-003-015
Holy-Bible---Gofa---Gofa-Bible-Latin		
Holy-Bible---Gofa---Gofa-Bible-Latin	VERSMISS	001-GEN-044-031
Holy-Bible---Gofa---Gofa-Bible-Latin	VERSMISS	043-JOH-003-015
Holy-Bible---Gourma---Gourma-Bible		
Holy-Bible---Gourmantche---Gourmantche-Bible		
Holy-Bible---Gowlan---Gowlan-Bible		
Holy-Bible---Gowli---Gawli-Bible		
Holy-Bible---Gowli---Gawli-Bible	VERSMISS	041-MAR-003-029
Holy-Bible---Greek---Greek-Antoniades		
Holy-Bible---Greek---Greek-Byzantine		
Holy-Bible---Greek---Greek-Byzantine-Majority		
Holy-Bible---Greek---Greek-LXX-Septuagint		
Holy-Bible---Greek---Greek-Majority-Text		
Holy-Bible---Greek---Greek-Modern-Kathareuousa		
Holy-Bible---Greek---Greek-Nestle		
Holy-Bible---Greek---Greek-Pickering-Family-35		
Holy-Bible---Greek---Greek-SBL		
Holy-Bible---Greek---Greek-SBL	VERSMISS	045-ROM-016-025
Holy-Bible---Greek---Greek-SBL	VERSMISS	045-ROM-016-026
Holy-Bible---Greek---Greek-SBL	VERSMISS	045-ROM-016-027
Holy-Bible---Greek---Greek-STEPBible		
Holy-Bible---Greek---Greek-Scrivener		
Holy-Bible---Greek---Greek-Statistical-Restoration		
Holy-Bible---Greek---Greek-Stephanus		
Holy-Bible---Greek---Greek-TR-Stephanus-Scrivener		
Holy-Bible---Greek---Greek-Textus-Receptus		
Holy-Bible---Greek---Greek-Textus-Receptus-Boyd		
Holy-Bible---Greek---Greek-Textus-Receptus-Elzevir		
Holy-Bible---Greek---Greek-Tischendorf		
Holy-Bible---Greek---Greek-Tregelles		
Holy-Bible---Greek---Greek-Westcott-Hort		
Holy-Bible---Greek---Text-Critical		
Holy-Bible---Guduf-Gava---Guduf-Gava-Bible		
Holy-Bible---Gujarati---Gujarati-Bible		
Holy-Bible---Gujii---Guji-Oromo-Bible		
Holy-Bible---Gujii---Guji-Oromo-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Haitian---Haitian-Creole-Bible		
Holy-Bible---Haitian---Haitian-Creole-Smith		
Holy-Bible---Halbi---Halbi-Bible		
Holy-Bible---Haryanvi---Haryanvi-Bible		
Holy-Bible---Hausa---Contemporary		
Holy-Bible---Hausa---Hausa-Bible		
Holy-Bible---Havu---Havu-Bible		
Holy-Bible---Hawaiian---Hawaiian-Bible-1868		
Holy-Bible---Hebrew---Hebrew-Aleppo-Codex		
Holy-Bible---Hebrew---Hebrew-Aleppo-Miqra-Mesorah		
Holy-Bible---Hebrew---Hebrew-Masoretic-OT		
Holy-Bible---Hebrew---Hebrew-STEPBible		
Holy-Bible---Hebrew---Hebrew-Westminster-Leningrad		
Holy-Bible---Hebrew---Hebrew-Westminster-Leningrad-Kimball		
Holy-Bible---Hebrew---Living-Bible		
Holy-Bible---Hebrew---Living-Bible	VERSMISS	040-MAT-012-032
Holy-Bible---Hebrew---Living-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Hebrew---Living-Bible	VERSMISS	056-TIT-001-002
Holy-Bible---Hebrew---Living-Bible	VERSMISS	065-JUD-001-025
Holy-Bible---Hebrew---Living-Bible	VERSMISS	066-REV-001-006
Holy-Bible---Hebrew---Modern-Hebrew-Bible		
Holy-Bible---Hebrew---Salkinson-Hebrew-Bible		
Holy-Bible---Hebrew---Westminster-Leningrad-Philadelphia		
Holy-Bible---Hindi---Contemporary		
Holy-Bible---Hindi---Hindi-Bible		
Holy-Bible---Hona---Hwana-Bible		
Holy-Bible---Hre---Hre-Bible		
