# File Name: RAWCHECK.txt
# File Size: 4696076     
# File Date: 08/31/2026 07:39:05
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	RAWFIX	TEXT	ORIGINAL
Holy-Bible---Armenian---Armenian-Bible-Eastern	001	GEN	021	034	ADD	Աբրահամը Փղշտացւոց երկրում պանդուխտ մնաց երկար ժամանակ:	
Holy-Bible---Armenian---Armenian-Bible-Eastern	001	GEN	049	031	MODIFY	Այնտեղ են թաղել Աբրահամին ու նրա կնոջը՝ Սառային: Այնտեղ են թաղել Իսահակին ու նրա կնոջը՝ Ռեբեկային: Այնտեղ են թաղել Լիային.	Այնտեղ են թաղել Աբրահամին ու նրա կնոջը՝ Սառային: Այնտեղ են թաղել Իսահակին ու նրա կնոջը՝ Ռեբեկային: Այնտեղ են թաղել Լիային. սա ագարակի եւ նրա մէջ գտնուող քարայրի այն կալուածքն է, որ գնուեց Քետի որդիներից: Այնտեղ են թաղել Աբրահամին ու նրա կնոջը՝ Սառային: Այնտեղ են թաղել Իսահակին ու նրա կնոջը՝ Ռեբեկային: Այնտեղ են թաղել Լիային. սա ագարակի եւ նրա մէջ գտնուող քարայրի այն կալուածքն է, որ գնուեց Քետի որդիներից:
Holy-Bible---Armenian---Armenian-Bible-Eastern	001	GEN	049	032	MODIFY	սա ագարակի եւ նրա մէջ գտնուող քարայրի այն կալուածքն է, որ գնուեց Քետի որդիներից:	Յակոբը դադարեց իր որդիներին պատուիրան տալուց, ոտքերը յետ բերեց մահիճի մէջ, մեռաւ եւ գնաց իր նախնիների գիրկը:
Holy-Bible---Armenian---Armenian-Bible-Eastern	001	GEN	049	033	ADD	Յակոբը դադարեց իր որդիներին պատուիրան տալուց, ոտքերը յետ բերեց մահիճի մէջ, մեռաւ եւ գնաց իր նախնիների գիրկը:	
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	025	038	MODIFY	Դրա ունելիներն ու պատուանդանը կը պատրաստես մաքուր ոսկուց:	Դրա ունելիներն ու պատուանդանը կը պատրաստես մաքուր ոսկուց: Այս ամբողջ սպասքը մի տաղանդ մաքուր ոսկուց կը պատրաստես: Դրա ունելիներն ու պատուանդանը կը պատրաստես մաքուր ոսկուց: Այս ամբողջ սպասքը մի տաղանդ մաքուր ոսկուց կը պատրաստես:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	025	039	MODIFY	Այս ամբողջ սպասքը մի տաղանդ մաքուր ոսկուց կը պատրաստես:	Ուշադի՛ր եղիր, կ՚անես ըստ այն օրինակի, որ քեզ ցոյց տրուեց լերան վրայ»:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	025	040	ADD	Ուշադի՛ր եղիր, կ՚անես ըստ այն օրինակի, որ քեզ ցոյց տրուեց լերան վրայ»:	
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	013	MODIFY	Ահարոնին կը հագցնես սրբազան պատմուճանը, կ՚օծես նրան, կը սրբագործես նրան, եւ նա ինձ համար քահանայութիւն կ՚անի:	Ահարոնին կը հագցնես սրբազան պատմուճանը, կ՚օծես նրան, կը սրբագործես նրան, եւ նա ինձ համար քահանայութիւն կ՚անի: Կը բերես նրա որդիներին, նրանց կը հագցնես պատմուճաններ, կ՚օծես նրանց այնպէս, ինչպէս օծեցիր նրանց հօրը, եւ նրանք ինձ համար քահանայութիւն կ՚անեն: Նրանց քահանայական օծումը իր»նց ց»ղ»րի մէջ յաւիտ»նական թող լինի»: Ահարոնին կը հագցնես սրբազան պատմուճանը, կ՚օծես նրան, կը սրբագործես նրան, եւ նա ինձ համար քահանայութիւն կ՚անի: Կը բերես նրա որդիներին, նրանց կը հագցնես պատմուճաններ, կ՚օծես նրանց այնպէս, ինչպէս օծեցիր նրանց հօրը, եւ նրանք ինձ համար քահանայութիւն կ՚անեն: Նրանց քահանայական օծումը իր»նց ց»ղ»րի մէջ յաւիտ»նական թող լինի»: Ահարոնին կը հագցնես սրբազան պատմուճանը, կ՚օծես նրան, կը սրբագործես նրան, եւ նա ինձ համար քահանայութիւն կ՚անի: Կը բերես նրա որդիներին, նրանց կը հագցնես պատմուճաններ, կ՚օծես նրանց այնպէս, ինչպէս օծեցիր նրանց հօրը, եւ նրանք ինձ համար քահանայութիւն կ՚անեն: Նրանց քահանայական օծումը իր»նց ց»ղ»րի մէջ յաւիտ»նական թող լինի»:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	014	MODIFY	Կը բերես նրա որդիներին, նրանց կը հագցնես պատմուճաններ,	Մովսէսն արեց այն ամէնը, ինչ Տէրը պատուիրել էր իրեն. նա հէնց այդպէս էլ արեց:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	015	MODIFY	կ՚օծես նրանց այնպէս, ինչպէս օծեցիր նրանց հօրը, եւ նրանք ինձ համար քահանայութիւն կ՚անեն: Նրանց քահանայական օծումը իր»նց ց»ղ»րի մէջ յաւիտ»նական թող լինի»:	Եգիպտացիների երկրից նրանց դուրս գալու երկրորդ տարուայ առաջին ամսին, ամսուայ սկզբին վրանը կանգնեցուեց:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	016	MODIFY	Մովսէսն արեց այն ամէնը, ինչ Տէրը պատուիրել էր իրեն. նա հէնց այդպէս էլ արեց:	Մովսէսը կառուցեց վրանը, դրեց դրա խարիսխները եւ կանգնեցրեց դրա մոյթերը, դրանց վրայ ամրացրեց խոյակները,
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	017	MODIFY	Եգիպտացիների երկրից նրանց դուրս գալու երկրորդ տարուայ առաջին ամսին, ամսուայ սկզբին վրանը կանգնեցուեց:	տեղադրեց միջաձողերը, տասշերտանի վարագոյրը տարածեց վրանի վրայ: Վրանի ծածկոցները գցեց դրա վրայ եւ ամրացրեց վրանի ծածկերը վերեւից, ինչպէս Տէրն էր հրամայել Մովսէսին:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	018	MODIFY	Մովսէսը կառուցեց վրանը, դրեց դրա խարիսխները եւ կանգնեցրեց դրա մոյթերը, դրանց վրայ ամրացրեց խոյակները,	Առաւ օրէնքի քարէ տախտակները, դրեց տապանակի մէջ, նիգերն անցկացրեց տապանակի վրայ եւ կափարիչը դրեց տապանակի վրայից:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	019	MODIFY	տեղադրեց միջաձողերը, տասշերտանի վարագոյրը տարածեց վրանի վրայ: Վրանի ծածկոցները գցեց դրա վրայ եւ ամրացրեց վրանի ծածկերը վերեւից, ինչպէս Տէրն էր հրամայել Մովսէսին:	Տապանակը տարաւ խորանի ներսը, վրան քաշելով վարագոյրը՝ ծածկեց վկայութեան տապանակը, ինչպէս Տէրն էր հրամայել Մովսէսին:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	020	MODIFY	Առաւ օրէնքի քարէ տախտակները, դրեց տապանակի մէջ, նիգերն անցկացրեց տապանակի վրայ եւ կափարիչը դրեց տապանակի վրայից:	Սեղանը դրեց վկայութեան խորանի մէջ՝ խորանի հիւսիսային կողմից, խորանի վարագոյրից դուրս:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	021	MODIFY	Տապանակը տարաւ խորանի ներսը, վրան քաշելով վարագոյրը՝ ծածկեց վկայութեան տապանակը, ինչպէս Տէրն էր հրամայել Մովսէսին:	Դրա վրայ Տիրոջ առաջ դասաւորեց առաջաւորութեան հացը, ինչպէս Տէրն էր հրամայել Մովսէսին:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	022	MODIFY	Սեղանը դրեց վկայութեան խորանի մէջ՝ խորանի հիւսիսային կողմից, խորանի վարագոյրից դուրս:	Աշտանակը դրեց վկայութեան խորանի մէջ, սեղանի դիմաց, խորանի հարաւային կողմից:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	023	MODIFY	Դրա վրայ Տիրոջ առաջ դասաւորեց առաջաւորութեան հացը, ինչպէս Տէրն էր հրամայել Մովսէսին:	Ճրագամանները դրեց դրա վրայ, Տիրոջ առաջ, ինչպէս Տէրն էր հրամայել Մովսէսին:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	024	MODIFY	Աշտանակը դրեց վկայութեան խորանի մէջ, սեղանի դիմաց, խորանի հարաւային կողմից:	Ոսկէ սեղանը դրեց վկայութեան խորանի մէջ, վարագոյրի դիմաց:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	025	MODIFY	Ճրագամանները դրեց դրա վրայ, Տիրոջ առաջ, ինչպէս Տէրն էր հրամայել Մովսէսին:	Համեմունքներից պատրաստուած խունկը դրեց դրա վրայ, ինչպէս Տէրն էր հրամայել Մովսէսին:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	026	MODIFY	Ոսկէ սեղանը դրեց վկայութեան խորանի մէջ, վարագոյրի դիմաց:	Նա կախեց խորանի դռան վարագոյրը:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	027	MODIFY	Համեմունքներից պատրաստուած խունկը դրեց դրա վրայ, ինչպէս Տէրն էր հրամայել Մովսէսին:	Ողջակէզների զոհասեղանը դրեց վկայութեան խորանի դռան մօտ եւ դրա վրայ ողջակէզներ ու զոհեր մատուցեց, ինչպէս Տէրն էր հրամայել Մովսէսին:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	028	MODIFY	Նա կախեց խորանի դռան վարագոյրը:	Աւազանը դրեց վկայութեան խորանի ու զոհասեղանի միջեւ եւ դրա մէջ ջուր լցրեց,
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	029	MODIFY	Ողջակէզների զոհասեղանը դրեց վկայութեան խորանի դռան մօտ եւ դրա վրայ ողջակէզներ ու զոհեր մատուցեց, ինչպէս Տէրն էր հրամայել Մովսէսին:	որպէսզի Մովսէսը, Ահարոնն ու նրա որդիները դրանով լուանան իրենց ձեռքերն ու ոտքերը,
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	030	MODIFY	Աւազանը դրեց վկայութեան խորանի ու զոհասեղանի միջեւ եւ դրա մէջ ջուր լցրեց,	երբ վկայութեան խորանը մտնեն կամ երբ զոհասեղանին մօտենան պաշտամունք կատարելու: Նրանք լուացւում էին դրա միջի ջրով, ինչպէս Տէրն էր հրամայել Մովսէսին:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	031	MODIFY	որպէսզի Մովսէսը, Ահարոնն ու նրա որդիները դրանով լուանան իրենց ձեռքերն ու ոտքերը,	Բակ կառուցեց խորանի
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	032	MODIFY	երբ վկայութեան խորանը մտնեն կամ երբ զոհասեղանին մօտենան պաշտամունք կատարելու: Նրանք լուացւում էին դրա միջի ջրով, ինչպէս Տէրն էր հրամայել Մովսէսին:	ու զոհասեղանի չորս կողմը եւ քաշեց բակի դռան վարագոյրը: Այսպիսով Մովսէսն աւարտեց իր ամբողջ գործը:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	033	MODIFY	Բակ կառուցեց խորանի ու զոհասեղանի չորս կողմը եւ քաշեց բակի դռան վարագոյրը: Այսպիսով Մովսէսն աւարտեց իր ամբողջ գործը:	Ամպը ծածկեց վկայութեան խորանը, եւ խորանը լցուեց Տիրոջ փառքով:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	034	MODIFY	Ամպը ծածկեց վկայութեան խորանը, եւ խորանը լցուեց Տիրոջ փառքով:	Մովսէսը չէր կարողանում մտնել վկայութեան խորան, որովհետեւ ամպը ծածկել էր այն, եւ խորանը լցուած էր Տիրոջ փառքով:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	035	MODIFY	Մովսէսը չէր կարողանում մտնել վկայութեան խորան, որովհետեւ ամպը ծածկել էր այն, եւ խորանը լցուած էր Տիրոջ փառքով:	Երբ ամպը վերանում էր խորանի վրայից, Իսրայէլի որդիները չւում էին իրենց ամբողջ բազմութեամբ,
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	036	MODIFY	Երբ ամպը վերանում էր խորանի վրայից, Իսրայէլի որդիները չւում էին իրենց ամբողջ բազմութեամբ,	իսկ երբ ամպը չէր վերանում, չէին չւում մինչեւ այն օրը, որ ամպը վերանար,
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	037	MODIFY	իսկ երբ ամպը չէր վերանում, չէին չւում մինչեւ այն օրը, որ ամպը վերանար,	որովհետեւ իսրայէլացիների ողջ երթի ընթացքում Տիրոջ ամպը ցերեկները կանգնում էր խորանի վրայ, իսկ գիշերները իսրայէլացիների առաջ դրա վրայ կրակ էր վառվում:
Holy-Bible---Armenian---Armenian-Bible-Eastern	002	EXO	040	038	ADD	որովհետեւ իսրայէլացիների ողջ երթի ընթացքում Տիրոջ ամպը ցերեկները կանգնում էր խորանի վրայ, իսկ գիշերները իսրայէլացիների առաջ դրա վրայ կրակ էր վառվում:	
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	034	MODIFY	Նախ խնդրեցէ՛ք Աստծու արքայութիւնը եւ նրա արդարութիւնը, եւ այդ բոլորը Աստուած ձեզ աւելիով կը տայ:	Նախ խնդրեցէ՛ք Աստծու արքայութիւնը եւ նրա արդարութիւնը, եւ այդ բոլորը Աստուած ձեզ աւելիով կը տայ: Այսուհետեւ հոգ մի՛ արէք վաղուայ մասին, որովհետեւ վաղուայ օրը իր մասին կը հոգայ. օրուայ հոգսը բաւ է օրուայ համար»:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	035	ADD	Այսուհետեւ հոգ մի՛ արէք վաղուայ մասին, որովհետեւ վաղուայ օրը իր մասին կը հոգայ. օրուայ հոգսը բաւ է օրուայ համար»:	
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	014	MODIFY	Երբ ժողովրդի մէջ եկան, մի մարդ մօտեցաւ, ծնկի եկաւ եւ ասաց.	Երբ ժողովրդի մէջ եկան, մի մարդ մօտեցաւ, ծնկի եկաւ եւ ասաց. «Տէ՛ր, ողորմի՛ր իմ որդուն, որովհետեւ լուսնոտութիւնից է տառապում եւ չարաչար տանջւում է. շատ անգամ կրակի մէջ է ընկնում եւ երբեմն՝ ջրի մէջ:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	015	MODIFY	«Տէ՛ր, ողորմի՛ր իմ որդուն, որովհետեւ լուսնոտութիւնից է տառապում եւ չարաչար տանջւում է. շատ անգամ կրակի մէջ է ընկնում եւ երբեմն՝ ջրի մէջ:	Նրան քո աշակերտների մօտ տարայ, եւ չկարողացան բժշկել»:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	016	MODIFY	Նրան քո աշակերտների մօտ տարայ, եւ չկարողացան բժշկել»:	Յիսուս պատասխան տուեց ու ասաց. «Ո՛վ անհաւատ եւ մոլորուած սերունդ, մինչեւ ե՞րբ ձեզ հետ պիտի լինեմ, մինչեւ ե՞րբ ձեզ պիտի հանդուրժեմ. նրան ինձ մօ՛տ բեր»:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	017	MODIFY	Յիսուս պատասխան տուեց ու ասաց. «Ո՛վ անհաւատ եւ մոլորուած սերունդ, մինչեւ ե՞րբ ձեզ հետ պիտի լինեմ, մինչեւ ե՞րբ ձեզ պիտի հանդուրժեմ. նրան ինձ մօ՛տ բեր»:	Եւ Յիսուս նրան սաստեց, դեւը նրանից դուրս եկաւ, եւ մանուկը հէնց այդ րոպէից բժշկուեց:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	018	MODIFY	Եւ Յիսուս նրան սաստեց, դեւը նրանից դուրս եկաւ, եւ մանուկը հէնց այդ րոպէից բժշկուեց:	Այն ժամանակ աշակերտները, առանձին, մօտեցան եւ Յիսուսին ասացին. «Մենք ինչո՞ւ այն հանել չկարողացանք»:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	019	MODIFY	Այն ժամանակ աշակերտները, առանձին, մօտեցան եւ Յիսուսին ասացին. «Մենք ինչո՞ւ այն հանել չկարողացանք»:	Եւ Յիսուս նրանց ասաց. «Ձեր թերահաւատութեան պատճառով. ճշմարիտ եմ ասում ձեզ, եթէ մանանեխի հատիկի չափ հաւատ ունենաք, այս լերանը կ՚ասէք՝ տեղափոխուի՛ր այստեղից այնտեղ, եւ կը տեղափոխուի. եւ որեւէ բան ձեզ համար անհնարին չի լինի:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	020	MODIFY	Եւ Յիսուս նրանց ասաց. «Ձեր թերահաւատութեան պատճառով. ճշմարիտ եմ ասում ձեզ, եթէ մանանեխի հատիկի չափ հաւատ ունենաք, այս լերանը կ՚ասէք՝ տեղափոխուի՛ր այստեղից այնտեղ, եւ կը տեղափոխուի. եւ որեւէ բան ձեզ համար անհնարին չի լինի:	Բայց այս տեսակ դեւը այլ կերպ դուրս չի ելնում, եթէ ոչ աղօթքով ու ծոմապահութեամբ»:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	021	MODIFY	Բայց այս տեսակ դեւը այլ կերպ դուրս չի ելնում, եթէ ոչ աղօթքով ու ծոմապահութեամբ»:	Եւ մինչ նրանք Գալիլիայում դեռ շրջում էին, Յիսուս իր աշակերտներին ասաց. «Մարդու Որդին մատնուելու է մարդկանց ձեռքը,
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	022	MODIFY	Եւ մինչ նրանք Գալիլիայում դեռ շրջում էին, Յիսուս իր աշակերտներին ասաց. «Մարդու Որդին մատնուելու է մարդկանց ձեռքը,	ու նրան պիտի սպանեն, եւ նա երրորդ օրը յարութիւն պիտի առնի»: Եւ նրանք շատ տխրեցին:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	023	MODIFY	ու նրան պիտի սպանեն, եւ նա երրորդ օրը յարութիւն պիտի առնի»: Եւ նրանք շատ տխրեցին:	Երբ նրանք Կափառնայում եկան, երկդրամեան տուրքը պահանջողները մօտեցան Պետրոսին եւ ասացին. «Ձեր վարդապետը երկդրամեանը չի՞ տալիս»: Եւ Պետրոսն ասաց՝ այո՛:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	024	MODIFY	Երբ նրանք Կափառնայում եկան, երկդրամեան տուրքը պահանջողները մօտեցան Պետրոսին եւ ասացին. «Ձեր վարդապետը երկդրամեանը չի՞ տալիս»: Եւ Պետրոսն ասաց՝ այո՛:	Եւ երբ տուն մտան, Յիսուս կանխեց նրան ու ասաց. «Քեզ ինչպէ՞ս է թւում, Սիմո՛ն. ազգերի թագաւորները հարկերը կամ տուրքը ումի՞ց են առնում, իրենց որդիների՞ց, թէ՞ օտարներից»:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	025	MODIFY	Եւ երբ տուն մտան, Յիսուս կանխեց նրան ու ասաց. «Քեզ ինչպէ՞ս է թւում, Սիմո՛ն. ազգերի թագաւորները հարկերը կամ տուրքը ումի՞ց են առնում, իրենց որդիների՞ց, թէ՞ օտարներից»:	Եւ երբ ասաց՝ օտարներից, Յիսուս նրան ասաց. «Ապա ուրեմն որդիներն ազատ են:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	026	MODIFY	Եւ երբ ասաց՝ օտարներից, Յիսուս նրան ասաց. «Ապա ուրեմն որդիներն ազատ են:	Բայց որպէսզի նրանց չգայթակղեցնենք, գնա՛ ծով ու կարթ գցի՛ր, եւ առաջին ձուկը, որ դուրս կ՚ելնի, վերցրո՛ւ ու բա՛ց նրա բերանը եւ մի արծաթ դրամ կը գտնես. այն ա՛ռ եւ իմ ու քո տեղ նրանց կը տաս»:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	017	027	ADD	Բայց որպէսզի նրանց չգայթակղեցնենք, գնա՛ ծով ու կարթ գցի՛ր, եւ առաջին ձուկը, որ դուրս կ՚ելնի, վերցրո՛ւ ու բա՛ց նրա բերանը եւ մի արծաթ դրամ կը գտնես. այն ա՛ռ եւ իմ ու քո տեղ նրանց կը տաս»:	
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	020	MODIFY	Գնացէ՛ք ուրեմն աշակերտ դարձրէ՛ք բոլոր ազգերին, նրանց մկրտեցէ՛ք Հօր եւ Որդու եւ Սուրբ Հոգու անունով:	Գնացէ՛ք ուրեմն աշակերտ դարձրէ՛ք բոլոր ազգերին, նրանց մկրտեցէ՛ք Հօր եւ Որդու եւ Սուրբ Հոգու անունով: Ուսուցանեցէ՛ք նրանց պահել այն բոլորը, ինչ որ ձեզ պատուիրեցի: Եւ ահա ես ձեզ հետ եմ բոլոր օրերում՝ մինչեւ աշխարհի վախճանը»:
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	021	ADD	Ուսուցանեցէ՛ք նրանց պահել այն բոլորը, ինչ որ ձեզ պատուիրեցի: Եւ ահա ես ձեզ հետ եմ բոլոր օրերում՝ մինչեւ աշխարհի վախճանը»:	
